campaign_id,brand_name,brand_category,region,platform,influencer_id,influencer_handle,influencer_category,influencer_tier,followers_start,posts_count,campaign_objective,impressions,avg_likes_per_post,avg_comments_per_post,avg_saves_shares_per_post,click_through_rate,landing_page_conv_rate,clicks,orders,new_customers,avg_order_value,revenue,influencer_fee,product_cost,other_campaign_costs,total_spend,cpm,cpc,cpa,roas,roi,campaign_success_label
CMP_00016,Brand_997,Gaming,EU,Instagram,INF_7303,@creator_70890,Family,Nano,1176,4,Traffic,1344,0,23,17,0.0207,0.0366,27,0,0,1445.75,0.0,12413.26,1499.63,933.41,14846.29,11046.35,549.86,0.0,0.0,-1.0,0
CMP_00017,Brand_195,Fashion,EU,Instagram,INF_1417,@creator_67458,Fashion,Nano,2084,1,Traffic,995,77,1,0,0.0205,0.0374,20,0,0,3996.34,0.0,18466.77,2554.08,2077.59,23098.44,23214.51,1154.92,0.0,0.0,-1.0,0
CMP_00018,Brand_990,Fintech,US,Instagram,INF_3914,@creator_31352,Family,Nano,4784,1,Traffic,1549,0,4,27,0.0188,0.027,29,0,0,2512.36,0.0,8499.0,1083.72,1704.99,11287.71,7287.09,389.23,0.0,0.0,-1.0,0
CMP_00019,Brand_264,Tech,EU,Instagram,INF_6305,@creator_21174,Fashion,Macro,123369,2,Traffic,47120,452,107,143,0.0118,0.0337,554,18,11,2153.36,38760.43,777813.76,242578.85,54709.24,1075101.85,22816.25,1940.62,59727.88,0.04,-0.96,0
CMP_00020,Brand_447,Gaming,India,Instagram,INF_8494,@creator_47080,Family,Nano,6498,5,Conversions,9152,0,25,8,0.02,0.0198,182,3,1,1475.9,4427.71,6762.89,1993.45,1599.5,10355.85,1131.54,56.9,3451.95,0.43,-0.57,0
CMP_00021,Brand_883,D2C,US,TikTok,INF_1133,@creator_77641,Travel,Nano,3375,4,App Installs,2230,32,9,0,0.013,0.0155,28,0,0,1782.21,0.0,26589.58,9959.83,7702.35,44251.76,19843.84,1580.42,0.0,0.0,-1.0,0
CMP_00022,Brand_914,Food,India,TikTok,INF_4719,@creator_94665,Food,Nano,1478,4,Traffic,1047,29,21,23,0.0142,0.0165,14,0,0,1745.96,0.0,14355.91,5526.16,3322.39,23204.46,22162.81,1657.46,0.0,0.0,-1.0,0
CMP_00023,Brand_184,Fashion,MENA,TikTok,INF_2015,@creator_71813,Family,Macro,110973,1,Traffic,48851,1078,244,379,0.0234,0.0587,1144,67,55,2633.14,176420.62,369833.5,120981.55,53427.12,544242.18,11140.86,475.74,8123.02,0.32,-0.68,0
CMP_00024,Brand_402,Fintech,India,Instagram,INF_5976,@creator_55543,Beauty,Nano,1611,2,Awareness,611,20,22,5,0.0355,0.0325,21,0,0,2076.62,0.0,13793.85,3049.06,1151.84,17994.75,29451.31,856.89,0.0,0.0,-1.0,0
CMP_00025,Brand_304,Tech,US,Instagram,INF_7881,@creator_16949,Tech,Micro,16329,2,Traffic,15233,0,22,0,0.0151,0.05,230,11,8,1137.29,12510.23,121125.23,47724.52,20973.38,189823.13,12461.31,825.32,17256.65,0.07,-0.93,0
CMP_00026,Brand_445,Fitness,India,Instagram,INF_7238,@creator_16090,Family,Nano,1345,4,Awareness,1457,3,11,0,0.025,0.022,36,0,0,1103.56,0.0,5824.09,793.19,962.11,7579.39,5202.05,210.54,0.0,0.0,-1.0,0
CMP_00027,Brand_411,Beauty,US,TikTok,INF_7190,@creator_15240,Beauty,Micro,10947,3,Conversions,14192,114,24,58,0.0145,0.0116,206,2,1,1287.85,2575.69,121155.82,39283.72,7168.89,167608.43,11810.06,813.63,83804.22,0.02,-0.98,0
CMP_00028,Brand_332,Fitness,SEA,Instagram,INF_4345,@creator_98869,Travel,Micro,34049,3,Awareness,19071,157,54,97,0.0222,0.0311,424,13,8,1062.5,13812.44,48822.85,11824.45,6775.44,67422.75,3535.35,159.02,5186.37,0.2,-0.8,0
CMP_00029,Brand_139,D2C,US,Instagram,INF_7891,@creator_82274,Other,Micro,36119,2,Awareness,25266,328,84,158,0.0135,0.0227,340,7,4,1837.13,12859.93,207600.85,25757.06,37602.29,270960.21,10724.3,796.94,38708.6,0.05,-0.95,0
CMP_00030,Brand_239,Gaming,India,YouTube,INF_6966,@creator_10117,Food,Nano,9321,1,Traffic,3756,63,17,0,0.0462,0.0235,173,4,3,1747.28,6989.13,12782.06,2043.24,2991.79,17817.09,4743.63,102.99,4454.27,0.39,-0.61,0
CMP_00031,Brand_646,Fashion,EU,Instagram,INF_7988,@creator_57362,Family,Nano,3207,1,Awareness,1097,0,16,0,0.0439,0.0209,48,1,0,2052.21,2052.21,21957.15,8723.11,2223.17,32903.43,29994.01,685.49,32903.43,0.06,-0.94,0
CMP_00032,Brand_122,Gaming,US,TikTok,INF_7413,@creator_40523,Beauty,Macro,137966,3,Awareness,180087,2779,711,1054,0.0167,0.048,3014,144,105,1295.96,186618.57,540266.99,129017.88,67719.48,737004.35,4092.49,244.53,5118.09,0.25,-0.75,0
CMP_00033,Brand_217,Beauty,India,Instagram,INF_4687,@creator_14018,Tech,Macro,242042,3,Traffic,285223,2781,723,1058,0.0283,0.0451,8066,364,303,2218.3,807461.28,455897.61,113151.25,108803.99,677852.85,2376.57,84.04,1862.23,1.19,0.19,0
CMP_00034,Brand_715,D2C,India,YouTube,INF_4228,@creator_30103,Family,Micro,40175,5,Traffic,58883,183,49,58,0.0357,0.0123,2100,25,18,1955.79,48894.77,68917.02,19605.86,19156.39,107679.27,1828.7,51.28,4307.17,0.45,-0.55,0
CMP_00035,Brand_408,Beauty,India,Instagram,INF_5451,@creator_90879,Food,Micro,39170,4,Conversions,27281,168,22,29,0.016,0.0236,435,10,8,1512.04,15120.44,45596.52,12875.01,6603.58,65075.11,2385.36,149.6,6507.51,0.23,-0.77,0
CMP_00036,Brand_948,Food,EU,Instagram,INF_1536,@creator_83509,Food,Micro,13009,2,Traffic,8281,54,19,26,0.0047,0.0456,38,1,0,1150.89,1150.89,62807.53,10288.14,11229.57,84325.24,10182.98,2219.09,84325.24,0.01,-0.99,0
CMP_00037,Brand_212,Beauty,US,TikTok,INF_7704,@creator_30806,Other,Macro,342822,1,Awareness,147387,1620,424,601,0.0057,0.052,834,43,36,1179.41,50714.69,664304.65,171586.12,121975.62,957866.39,6498.99,1148.52,22275.96,0.05,-0.95,0
CMP_00038,Brand_153,Fintech,EU,Instagram,INF_9038,@creator_58770,Family,Nano,2159,2,Awareness,1620,2,4,17,0.0123,0.0287,19,0,0,1514.99,0.0,10938.23,3298.62,600.81,14837.66,9159.05,780.93,0.0,0.0,-1.0,0
CMP_00039,Brand_218,Tech,India,Instagram,INF_8970,@creator_44911,Fashion,Micro,17305,3,App Installs,9366,0,18,22,0.0233,0.0431,218,9,7,2681.81,24136.28,53476.55,18584.82,7527.62,79588.99,8497.65,365.09,8843.22,0.3,-0.7,0
CMP_00040,Brand_103,Tech,India,Instagram,INF_8083,@creator_27771,Travel,Macro,230546,1,Conversions,73913,1925,481,712,0.0194,0.0346,1436,49,38,1131.87,55461.4,198449.99,28141.56,51345.47,277937.03,3760.33,193.55,5672.18,0.2,-0.8,0
CMP_00041,Brand_462,Tech,India,Instagram,INF_6475,@creator_67384,Fashion,Nano,1043,2,Traffic,463,30,17,33,0.01,0.0377,4,0,0,1027.3,0.0,9715.66,1108.46,889.67,11713.79,25299.76,2928.45,0.0,0.0,-1.0,0
CMP_00042,Brand_300,Tech,US,Instagram,INF_8679,@creator_82355,Other,Nano,2450,1,Conversions,890,1,7,0,0.0188,0.0115,16,0,0,2616.18,0.0,24066.72,9303.49,2133.95,35504.16,39892.32,2219.01,0.0,0.0,-1.0,0
CMP_00043,Brand_760,Tech,India,YouTube,INF_2639,@creator_65337,Travel,Nano,2586,1,Awareness,1016,41,9,0,0.0127,0.0263,12,0,0,1444.52,0.0,10712.87,3876.81,2496.7,17086.38,16817.3,1423.87,0.0,0.0,-1.0,0
CMP_00044,Brand_258,Tech,EU,YouTube,INF_6387,@creator_87454,Beauty,Macro,177692,3,App Installs,256100,972,234,358,0.0179,0.0469,4575,214,182,2435.67,521232.82,557785.81,194485.77,33049.87,785321.46,3066.46,171.65,3669.73,0.66,-0.34,0
CMP_00045,Brand_707,Food,India,Instagram,INF_5278,@creator_33510,Other,Nano,4969,4,Traffic,7584,109,11,49,0.0301,0.0271,228,6,4,1628.08,9768.48,4603.28,716.46,672.04,5991.78,790.06,26.28,998.63,1.63,0.63,0
CMP_00046,Brand_684,D2C,India,YouTube,INF_9436,@creator_72187,Tech,Nano,1226,1,Traffic,300,0,0,6,0.003,0.005,0,0,0,2260.21,0.0,12838.37,3552.8,1531.83,17923.0,59743.32,0.0,0.0,0.0,-1.0,0
CMP_00047,Brand_119,Beauty,EU,Instagram,INF_5805,@creator_10806,Travel,Nano,8911,3,Conversions,11849,41,24,17,0.0158,0.0284,187,5,4,2874.85,14374.25,20629.84,3401.8,3704.4,27736.05,2340.79,148.32,5547.21,0.52,-0.48,0
CMP_00048,Brand_620,Tech,India,TikTok,INF_9194,@creator_38831,Beauty,Micro,30987,3,Awareness,21226,358,69,73,0.0216,0.0246,459,11,7,2967.04,32637.44,102466.16,39623.2,27208.03,169297.39,7975.94,368.84,15390.67,0.19,-0.81,0
CMP_00049,Brand_848,Beauty,US,Instagram,INF_5133,@creator_90199,Family,Nano,2561,3,Conversions,1744,7,0,7,0.0198,0.0478,34,1,0,3464.5,3464.5,17164.79,5207.88,3285.91,25658.58,14712.49,754.66,25658.58,0.14,-0.86,0
CMP_00050,Brand_394,Gaming,EU,YouTube,INF_2704,@creator_43130,Fitness,Micro,70889,5,Conversions,137542,444,100,137,0.0215,0.0481,2952,141,91,1091.53,153906.04,257724.85,90110.98,45583.0,393418.84,2860.35,133.27,2790.2,0.39,-0.61,0
CMP_00051,Brand_500,Tech,US,Instagram,INF_8009,@creator_22987,Family,Mega,2764513,5,Conversions,4691977,20749,5191,7794,0.0261,0.0328,122361,4013,2531,2640.44,10596072.33,1576376.35,299967.19,357905.25,2234248.8,476.18,18.26,556.75,4.74,3.74,1
CMP_00052,Brand_229,Beauty,India,Instagram,INF_5799,@creator_34860,Tech,Nano,7118,4,Conversions,5567,110,7,0,0.0388,0.0083,216,1,0,740.96,740.96,15568.37,4796.69,1637.67,22002.73,3952.35,101.86,22002.73,0.03,-0.97,0
CMP_00053,Brand_529,Food,EU,YouTube,INF_1988,@creator_63268,Food,Nano,8930,5,Traffic,22074,0,14,3,0.0129,0.02,284,5,3,874.23,4371.15,36649.36,8867.79,10703.39,56220.54,2546.91,197.96,11244.11,0.08,-0.92,0
CMP_00054,Brand_600,Tech,EU,Instagram,INF_7342,@creator_71788,Food,Macro,699492,4,Awareness,1321471,10485,2610,3888,0.0195,0.0356,25771,918,669,1894.08,1738765.79,407091.37,100746.31,26889.29,534726.97,404.65,20.75,582.49,3.25,2.25,1
CMP_00055,Brand_341,Gaming,US,Instagram,INF_9465,@creator_36589,Travel,Mega,1272191,2,Traffic,1000562,3704,920,1384,0.0198,0.0214,19769,423,267,1498.2,633738.06,2285475.73,710187.57,434039.66,3429702.95,3427.78,173.49,8108.04,0.18,-0.82,0
CMP_00056,Brand_939,Fashion,US,Instagram,INF_8833,@creator_60069,Travel,Macro,120922,2,App Installs,53278,331,76,109,0.0173,0.0332,919,30,23,3204.24,96127.11,740421.33,140421.47,210131.91,1090974.71,20477.02,1187.13,36365.82,0.09,-0.91,0
CMP_00057,Brand_408,Fintech,EU,YouTube,INF_1207,@creator_76435,Fitness,Micro,30506,2,Conversions,12653,56,31,12,0.0373,0.0461,472,21,15,721.21,15145.38,125774.24,40660.76,33702.24,200137.25,15817.37,424.02,9530.35,0.08,-0.92,0
CMP_00058,Brand_251,Fitness,India,YouTube,INF_9503,@creator_12920,Travel,Nano,4500,3,Conversions,2967,0,6,28,0.0189,0.044,56,2,1,1936.58,3873.16,10270.54,2170.28,3049.45,15490.27,5220.85,276.61,7745.14,0.25,-0.75,0
CMP_00059,Brand_229,Fitness,US,Instagram,INF_2394,@creator_55241,Other,Micro,53119,5,Awareness,107988,756,175,243,0.0232,0.0256,2509,64,47,1771.8,113395.2,155779.37,39637.31,21779.25,217195.93,2011.3,86.57,3393.69,0.52,-0.48,0
CMP_00060,Brand_383,Beauty,India,Instagram,INF_5356,@creator_23760,Travel,Mega,1515051,4,Awareness,2966090,12554,3155,4695,0.0225,0.0261,66860,1745,1177,3486.95,6084726.94,1382105.4,431262.72,126822.65,1940190.78,654.12,29.02,1111.86,3.14,2.14,1
CMP_00061,Brand_896,Tech,India,Instagram,INF_3203,@creator_93310,Other,Micro,60504,4,Traffic,40681,154,31,79,0.0219,0.0166,891,14,11,2115.24,29613.4,100441.74,10567.87,13136.04,124145.65,3051.69,139.33,8867.55,0.24,-0.76,0
CMP_00062,Brand_526,D2C,India,TikTok,INF_7294,@creator_32911,Tech,Micro,22011,5,Awareness,52709,0,9,18,0.0119,0.0231,627,14,12,2024.93,28349.03,47870.86,14288.96,14105.52,76265.35,1446.91,121.64,5447.52,0.37,-0.63,0
CMP_00063,Brand_423,Fashion,India,YouTube,INF_1986,@creator_52823,Beauty,Macro,732164,1,Conversions,278668,1936,492,690,0.023,0.0187,6416,119,107,3304.11,393189.57,473534.61,127904.01,111097.04,712535.66,2556.93,111.06,5987.69,0.55,-0.45,0
CMP_00064,Brand_201,Fintech,India,YouTube,INF_2000,@creator_35426,Fashion,Micro,64245,5,Conversions,61698,124,33,27,0.0056,0.0539,345,18,12,1076.52,19377.35,93996.21,16098.09,13470.87,123565.17,2002.74,358.16,6864.73,0.16,-0.84,0
CMP_00065,Brand_888,Fitness,India,Instagram,INF_7228,@creator_16471,Beauty,Micro,57457,2,Traffic,40571,97,68,82,0.0268,0.0386,1087,41,33,1879.46,77058.04,39256.05,14843.12,2554.27,56653.44,1396.4,52.12,1381.79,1.36,0.36,0
CMP_00066,Brand_411,Fitness,India,Instagram,INF_4610,@creator_52652,Food,Micro,18062,4,Traffic,18709,179,33,26,0.0041,0.028,77,2,1,1420.39,2840.78,40100.03,10327.72,9113.19,59540.94,3182.48,773.26,29770.47,0.05,-0.95,0
CMP_00067,Brand_159,Tech,India,YouTube,INF_6291,@creator_81031,Family,Mega,2177629,5,Traffic,4755028,11997,2989,4496,0.025,0.0106,118858,1254,907,1504.91,1887156.4,2057619.8,375395.88,526037.87,2959053.55,622.3,24.9,2359.69,0.64,-0.36,0
CMP_00068,Brand_696,Beauty,India,YouTube,INF_1482,@creator_27633,Fashion,Micro,28298,1,Awareness,5192,46,9,36,0.0421,0.0216,218,4,3,1404.16,5616.63,69017.03,27353.91,5805.02,102175.96,19679.5,468.7,25543.99,0.05,-0.95,0
CMP_00069,Brand_329,Fashion,US,YouTube,INF_3349,@creator_70946,Family,Micro,49253,4,Conversions,35028,64,3,0,0.0135,0.0116,473,5,3,1892.77,9463.84,273894.33,46593.16,50671.27,371158.76,10596.06,784.69,74231.75,0.03,-0.97,0
CMP_00070,Brand_747,Fitness,US,Instagram,INF_6249,@creator_29201,Tech,Nano,2152,1,App Installs,658,56,0,31,0.0269,0.0251,17,0,0,905.12,0.0,23564.85,2365.23,2950.63,28880.71,43891.66,1698.87,0.0,0.0,-1.0,0
CMP_00071,Brand_548,Gaming,India,YouTube,INF_7099,@creator_72711,Tech,Nano,9422,4,Awareness,9043,33,9,14,0.0216,0.067,194,12,7,1158.98,13907.79,11827.86,2411.66,1298.27,15537.79,1718.21,80.09,1294.82,0.9,-0.1,0
CMP_00072,Brand_887,Food,India,Instagram,INF_2442,@creator_75450,Tech,Macro,747027,4,Conversions,666284,1744,453,673,0.026,0.0224,17320,387,278,1381.82,534765.36,225803.4,69657.04,30827.79,326288.24,489.71,18.84,843.12,1.64,0.64,0
CMP_00073,Brand_757,Fashion,SEA,Instagram,INF_9286,@creator_15901,Food,Nano,7278,1,Traffic,2371,60,0,6,0.0139,0.0272,32,0,0,2906.21,0.0,7030.33,1360.68,1241.1,9632.12,4062.47,301.0,0.0,0.0,-1.0,0
CMP_00074,Brand_362,D2C,US,Instagram,INF_7610,@creator_81966,Food,Nano,4164,3,Traffic,2712,14,0,19,0.0337,0.021,91,1,0,1107.21,1107.21,10280.67,3442.06,1196.12,14918.85,5501.05,163.94,14918.85,0.07,-0.93,0
CMP_00075,Brand_673,Food,US,YouTube,INF_2382,@creator_44171,Travel,Micro,16939,4,Awareness,27340,134,23,68,0.0073,0.0502,198,9,6,841.52,7573.7,155267.09,60421.67,17412.44,233101.2,8526.01,1177.28,25900.13,0.03,-0.97,0
CMP_00076,Brand_693,Fintech,EU,Instagram,INF_6542,@creator_70428,Other,Micro,47970,5,Conversions,88805,338,81,145,0.0069,0.005,614,3,1,1497.52,4492.56,62111.15,22322.63,6886.23,91320.01,1028.32,148.73,30440.0,0.05,-0.95,0
CMP_00077,Brand_680,Beauty,US,Instagram,INF_3672,@creator_63352,Fashion,Macro,246827,1,Conversions,117393,2142,548,796,0.0198,0.0497,2326,115,82,1292.46,148633.18,869264.41,204438.73,235235.87,1308939.0,11150.06,562.74,11382.08,0.11,-0.89,0
CMP_00078,Brand_419,Beauty,US,YouTube,INF_4456,@creator_17788,Family,Nano,1091,3,Awareness,504,0,0,24,0.0134,0.0143,6,0,0,2929.32,0.0,13055.48,3891.72,3147.59,20094.79,39870.62,3349.13,0.0,0.0,-1.0,0
CMP_00079,Brand_325,D2C,India,Instagram,INF_9551,@creator_45144,Other,Mega,1608818,2,Conversions,1563575,14307,3588,5366,0.0122,0.0244,19059,465,345,2470.58,1148819.21,1441253.62,369293.05,294195.8,2104742.46,1346.11,110.43,4526.33,0.55,-0.45,0
CMP_00080,Brand_760,D2C,India,Instagram,INF_6946,@creator_64093,Other,Micro,12445,4,Awareness,10318,46,5,10,0.0404,0.0118,417,4,3,3408.39,13633.55,49308.42,12978.22,10306.33,72592.98,7035.57,174.08,18148.24,0.19,-0.81,0
CMP_00081,Brand_729,Fintech,EU,TikTok,INF_9789,@creator_68005,Fitness,Macro,453066,3,Awareness,255230,4163,1030,1560,0.0199,0.038,5070,192,123,1013.13,194520.03,728710.66,235393.32,147917.42,1112021.4,4356.94,219.33,5791.78,0.17,-0.83,0
CMP_00082,Brand_599,Tech,India,Instagram,INF_7279,@creator_51321,Travel,Micro,75359,2,Awareness,35620,93,17,27,0.0259,0.055,922,50,39,2815.74,140786.86,33776.84,6978.82,8307.35,49063.0,1377.4,53.21,981.26,2.87,1.87,0
CMP_00083,Brand_301,Fashion,EU,Instagram,INF_4489,@creator_50372,Tech,Nano,5568,1,Conversions,1751,66,0,16,0.0356,0.0112,62,0,0,2133.49,0.0,17277.15,1737.46,1634.3,20648.91,11792.64,333.05,0.0,0.0,-1.0,0
CMP_00084,Brand_208,Food,India,YouTube,INF_3563,@creator_46060,Family,Nano,2525,3,Awareness,2673,102,21,36,0.0296,0.0206,79,1,0,1913.93,1913.93,12573.63,1548.03,812.73,14934.39,5587.13,189.04,14934.39,0.13,-0.87,0
CMP_00085,Brand_499,Fashion,EU,YouTube,INF_6469,@creator_38854,Other,Macro,329055,1,Traffic,118255,1365,344,526,0.0386,0.0138,4566,63,52,2318.81,146085.2,848815.55,182622.57,163794.3,1195232.42,10107.25,261.77,18971.94,0.12,-0.88,0
CMP_00086,Brand_740,Food,India,Instagram,INF_7397,@creator_45525,Beauty,Nano,1062,1,Conversions,450,0,0,0,0.003,0.0404,1,0,0,1448.58,0.0,9837.94,1130.9,2715.06,13683.9,30408.66,13683.9,0.0,0.0,-1.0,0
CMP_00087,Brand_695,Food,EU,YouTube,INF_8736,@creator_17710,Food,Nano,4075,4,Conversions,3938,1,6,0,0.0116,0.0162,45,0,0,2246.34,0.0,11224.19,2764.2,655.53,14643.91,3718.62,325.42,0.0,0.0,-1.0,0
CMP_00088,Brand_524,Fitness,India,YouTube,INF_1671,@creator_17927,Family,Micro,25768,3,App Installs,26751,17,18,51,0.0075,0.0344,199,6,4,821.71,4930.25,147531.58,41686.25,20267.39,209485.22,7830.93,1052.69,34914.2,0.02,-0.98,0
CMP_00089,Brand_534,Tech,India,Instagram,INF_3336,@creator_72032,Family,Nano,7089,5,Awareness,15138,0,42,50,0.0255,0.0235,386,9,6,2823.41,25410.65,8241.36,1065.35,2188.05,11494.76,759.33,29.78,1277.2,2.21,1.21,0
CMP_00090,Brand_779,Fintech,India,YouTube,INF_1610,@creator_77263,Fitness,Macro,129400,3,Conversions,85589,185,50,106,0.0123,0.0083,1054,8,6,1547.5,12379.98,638840.18,230732.16,70080.16,939652.5,10978.66,891.51,117456.56,0.01,-0.99,0
CMP_00091,Brand_337,Fashion,US,TikTok,INF_8264,@creator_60729,Fitness,Micro,12420,4,Conversions,14361,0,15,7,0.0147,0.0223,211,4,2,3516.5,14066.02,92632.37,17943.33,19514.74,130090.43,9058.59,616.54,32522.61,0.11,-0.89,0
CMP_00092,Brand_748,Fashion,US,Instagram,INF_7530,@creator_21116,Other,Micro,14656,3,Conversions,9193,170,12,14,0.0168,0.0417,154,6,4,2954.15,17724.9,208012.77,81192.95,54960.82,344166.54,37437.89,2234.85,57361.09,0.05,-0.95,0
CMP_00093,Brand_687,Fintech,India,YouTube,INF_4604,@creator_66481,Travel,Mega,2183993,4,App Installs,1594844,5491,1377,2048,0.0248,0.0265,39612,1048,663,1638.35,1716995.54,1223540.05,215705.94,311774.86,1751020.86,1097.93,44.2,1670.82,0.98,-0.02,0
CMP_00094,Brand_347,Fashion,India,Instagram,INF_2715,@creator_55096,Beauty,Nano,1222,3,Traffic,1510,73,18,24,0.0157,0.0361,23,0,0,2480.64,0.0,5790.94,1753.8,760.21,8304.95,5499.97,361.08,0.0,0.0,-1.0,0
CMP_00095,Brand_453,D2C,India,Instagram,INF_9831,@creator_85330,Family,Micro,98116,4,Conversions,68279,199,59,126,0.0234,0.0333,1599,53,35,2725.77,144465.6,122957.52,12302.7,11345.32,146605.54,2147.15,91.69,2766.14,0.99,-0.01,0
CMP_00096,Brand_162,Fintech,India,Instagram,INF_6661,@creator_81678,Fitness,Nano,1345,3,Traffic,664,22,3,16,0.0156,0.0377,10,0,0,1370.23,0.0,14341.83,1511.66,4169.21,20022.69,30154.65,2002.27,0.0,0.0,-1.0,0
CMP_00097,Brand_593,Food,SEA,Instagram,INF_1933,@creator_44228,Tech,Nano,7460,5,Awareness,16359,47,11,38,0.0164,0.0419,268,11,7,2119.32,23312.48,8351.42,1910.43,976.65,11238.5,686.99,41.93,1021.68,2.07,1.07,0
CMP_00098,Brand_918,D2C,EU,TikTok,INF_8156,@creator_77580,Food,Nano,1660,1,Conversions,637,51,31,0,0.0131,0.0521,8,0,0,2218.39,0.0,19130.72,4457.73,3860.05,27448.49,43090.26,3431.06,0.0,0.0,-1.0,0
CMP_00099,Brand_548,Beauty,EU,Instagram,INF_1771,@creator_97445,Food,Nano,3253,4,Traffic,4687,34,7,44,0.0138,0.0329,64,2,1,2148.33,4296.66,8890.92,1262.57,1059.83,11213.32,2392.43,175.21,5606.66,0.38,-0.62,0
CMP_00100,Brand_955,Tech,US,Instagram,INF_6808,@creator_16796,Travel,Nano,4081,5,Awareness,3115,0,0,6,0.0334,0.005,104,0,0,2592.02,0.0,21910.45,2763.52,4475.57,29149.54,9357.8,280.28,0.0,0.0,-1.0,0
