campaign_id,platform,brand_category,influencer_id,influencer_handle,influencer_tier,total_spend,revenue,roas,curve_k,curve_alpha,curve_beta
CMP_00074,Instagram,Fashion,INF_6490,@creator_58302,Nano,51658.86,163400.71,3.16,2.069,1.218,0.667
CMP_00075,Instagram,Fitness,INF_2481,@creator_85629,Nano,51594.71,130079.58,2.52,2.601,1.393,0.941
CMP_00076,Instagram,D2C,INF_9519,@creator_66373,Micro,154639.67,506651.93,3.28,2.139,1.361,0.701
CMP_00077,TikTok,Food,INF_7612,@creator_96925,Micro,144492.5,781953.9,5.41,2.793,1.055,0.276
CMP_00078,TikTok,D2C,INF_4594,@creator_25358,Micro,163532.33,857251.38,5.24,2.181,1.144,0.684
CMP_00079,Instagram,Food,INF_2387,@creator_39975,Mega,1228475.85,1322607.3,1.08,2.132,1.395,0.538
CMP_00080,YouTube,Fashion,INF_8368,@creator_65029,Micro,221911.92,520137.67,2.34,1.843,1.096,1.095
CMP_00081,Instagram,Fashion,INF_8184,@creator_32180,Micro,223312.49,885261.89,3.96,2.659,1.122,0.259
CMP_00082,YouTube,D2C,INF_3969,@creator_99563,Micro,249600.5,512551.4,2.05,1.844,1.174,0.946
CMP_00083,Instagram,Fitness,INF_8679,@creator_82355,Nano,63142.75,221500.67,3.51,1.594,1.248,0.633
CMP_00084,Instagram,Food,INF_2762,@creator_41987,Micro,91313.68,350418.02,3.84,1.993,1.259,0.551
CMP_00085,YouTube,Fashion,INF_8970,@creator_55186,Micro,97108.38,176536.39,1.82,1.005,1.389,0.286
CMP_00086,TikTok,Beauty,INF_8982,@creator_30491,Mega,2083801.89,6471434.43,3.11,2.746,1.306,0.974
CMP_00087,Instagram,Beauty,INF_4993,@creator_37935,Micro,235226.54,743253.83,3.16,2.85,1.113,0.75
CMP_00088,TikTok,D2C,INF_4294,@creator_64237,Macro,338417.83,691889.68,2.04,1.91,1.233,0.841
CMP_00089,Instagram,Fitness,INF_3983,@creator_30662,Micro,168986.8,645919.06,3.82,2.145,1.331,0.676
CMP_00090,Instagram,Food,INF_9502,@creator_62393,Nano,79420.48,253002.04,3.19,1.0,1.115,0.614
CMP_00091,Instagram,Food,INF_5361,@creator_60072,Mega,1672740.93,3493559.88,2.09,2.045,1.306,0.284
CMP_00092,YouTube,Tech,INF_9896,@creator_45400,Nano,26568.06,50052.85,1.88,1.783,1.094,1.182
CMP_00093,TikTok,D2C,INF_9202,@creator_39757,Macro,729387.97,3251067.29,4.46,1.334,1.397,0.626
CMP_00094,Instagram,Fashion,INF_1824,@creator_92856,Nano,31186.3,103247.17,3.31,2.559,1.173,0.371
CMP_00095,YouTube,Gaming,INF_8906,@creator_71413,Macro,736056.17,1058661.42,1.44,2.496,1.062,1.153
CMP_00096,Instagram,Tech,INF_6016,@creator_98801,Macro,903489.33,1876568.97,2.08,2.619,1.279,0.566
CMP_00097,Instagram,Tech,INF_9228,@creator_19903,Nano,60995.53,215396.42,3.53,1.152,1.348,0.611
CMP_00098,Instagram,Fashion,INF_2312,@creator_96231,Micro,255433.72,888019.42,3.48,2.317,1.348,0.918
CMP_00099,YouTube,D2C,INF_5795,@creator_32534,Micro,273960.17,663871.28,2.42,2.923,1.213,0.826
CMP_00100,TikTok,Fashion,INF_9780,@creator_43062,Macro,435193.01,1514619.38,3.48,1.168,1.164,0.479
CMP_00101,Instagram,D2C,INF_2435,@creator_36660,Micro,102552.14,329635.93,3.21,2.874,1.291,0.309
CMP_00102,Instagram,Beauty,INF_7353,@creator_77889,Nano,79408.9,272243.35,3.43,2.352,1.206,0.737
CMP_00103,YouTube,D2C,INF_4356,@creator_24288,Micro,102482.6,243786.22,2.38,2.708,1.234,0.895
CMP_00104,Instagram,Fitness,INF_3896,@creator_54413,Nano,29063.47,89562.52,3.08,1.865,1.38,0.589
CMP_00105,TikTok,Beauty,INF_1933,@creator_29982,Nano,64750.22,219385.36,3.39,1.401,1.354,0.841
CMP_00106,Instagram,Beauty,INF_4380,@creator_18711,Macro,839645.29,2423678.49,2.89,2.69,1.316,0.62
CMP_00107,Instagram,Fintech,INF_2875,@creator_44531,Micro,202850.79,792047.18,3.9,1.451,1.106,0.679
CMP_00108,TikTok,Beauty,INF_9465,@creator_36589,Nano,43549.61,212402.09,4.88,1.96,1.26,0.583
CMP_00109,Instagram,Fintech,INF_7731,@creator_62269,Micro,111349.02,343891.43,3.09,1.998,1.266,0.766
CMP_00110,Instagram,Beauty,INF_8833,@creator_60069,Macro,525466.29,1353143.14,2.58,2.955,1.12,0.822
CMP_00111,TikTok,Tech,INF_2925,@creator_93976,Micro,285966.69,1270097.96,4.44,1.104,1.239,1.033
CMP_00112,Instagram,Fitness,INF_1458,@creator_56163,Micro,201660.32,522076.51,2.59,2.195,1.324,0.517
CMP_00113,YouTube,Food,INF_2560,@creator_89148,Nano,56944.52,131079.49,2.3,1.658,1.215,1.025
CMP_00114,Instagram,Fintech,INF_1661,@creator_47412,Micro,299193.46,746053.7,2.49,2.95,1.278,0.441
CMP_00115,TikTok,D2C,INF_3071,@creator_84131,Micro,218328.26,968993.32,4.44,2.471,1.319,0.676
CMP_00116,Instagram,Fashion,INF_2394,@creator_55241,Micro,280719.94,777223.4,2.77,1.421,1.268,0.757
CMP_00117,TikTok,D2C,INF_1525,@creator_98397,Micro,192775.35,588135.97,3.05,1.826,1.074,0.411
CMP_00118,Instagram,Food,INF_4216,@creator_71272,Micro,293270.71,860124.88,2.93,1.516,1.28,0.545
CMP_00119,Instagram,Fintech,INF_6724,@creator_86619,Nano,69733.0,233205.02,3.34,1.862,1.137,0.741
CMP_00120,Instagram,Tech,INF_4568,@creator_19847,Nano,68340.21,233800.8,3.42,2.171,1.354,0.37
CMP_00121,Instagram,Food,INF_7262,@creator_11058,Nano,47131.94,177579.43,3.77,2.868,1.161,0.532
CMP_00122,TikTok,D2C,INF_7570,@creator_78785,Nano,40559.21,191843.69,4.73,2.064,1.094,0.281
CMP_00123,Instagram,Tech,INF_7812,@creator_23669,Nano,72088.54,306666.67,4.25,1.354,1.292,0.961
CMP_00124,YouTube,Gaming,INF_1986,@creator_52823,Macro,856857.26,2050870.19,2.39,2.837,1.26,1.18
CMP_00125,Instagram,Fashion,INF_9133,@creator_15704,Mega,2732877.34,5379569.22,1.97,2.987,1.313,0.322
CMP_00126,YouTube,Food,INF_4553,@creator_83297,Micro,273136.05,673428.8,2.47,1.634,1.354,0.574
CMP_00127,YouTube,Fashion,INF_3875,@creator_41324,Nano,46921.62,126624.1,2.7,1.475,1.181,0.427
CMP_00128,YouTube,Fintech,INF_7228,@creator_16471,Micro,194197.99,312315.54,1.61,1.958,1.059,0.567
CMP_00129,Instagram,D2C,INF_6445,@creator_91709,Nano,63087.38,241481.61,3.83,2.911,1.056,0.351
CMP_00130,Instagram,Fitness,INF_1140,@creator_47650,Nano,26085.25,106566.21,4.09,1.972,1.14,0.446
CMP_00131,Instagram,Food,INF_7787,@creator_96365,Micro,119852.86,335004.27,2.8,2.362,1.114,0.676
CMP_00132,Instagram,Food,INF_2798,@creator_69189,Micro,201049.84,610656.61,3.04,1.087,1.272,0.947
CMP_00133,Instagram,Beauty,INF_6752,@creator_85388,Micro,279296.04,947256.03,3.39,2.54,1.245,0.427
CMP_00134,YouTube,Beauty,INF_4040,@creator_74174,Nano,34114.14,72721.91,2.13,2.739,1.216,0.655
CMP_00135,Instagram,Fitness,INF_2100,@creator_67784,Nano,49806.01,172064.63,3.45,2.976,1.098,0.725
CMP_00136,YouTube,D2C,INF_3349,@creator_70946,Nano,56193.16,162175.43,2.89,1.674,1.367,0.846
CMP_00137,Instagram,Beauty,INF_3472,@creator_82240,Nano,69911.79,280086.05,4.01,2.339,1.074,0.659
CMP_00138,Instagram,Fashion,INF_6249,@creator_29201,Nano,41776.66,161596.4,3.87,2.991,1.206,0.52
CMP_00139,Instagram,Fashion,INF_1632,@creator_78619,Nano,40854.29,134240.26,3.29,2.33,1.328,0.826
CMP_00140,TikTok,Gaming,INF_3368,@creator_92205,Macro,664670.58,2564749.7,3.86,2.247,1.081,0.582
CMP_00141,YouTube,Fintech,INF_6782,@creator_98177,Nano,40500.47,106424.13,2.63,1.762,1.171,0.516
CMP_00142,TikTok,Fashion,INF_2442,@creator_75450,Micro,206409.22,955601.35,4.63,2.133,1.187,0.597
CMP_00143,YouTube,Fashion,INF_9325,@creator_62290,Macro,853021.31,1871103.68,2.19,1.609,1.078,0.564
CMP_00144,TikTok,Gaming,INF_9984,@creator_73740,Macro,903410.14,2282912.21,2.53,2.846,1.22,0.878
CMP_00145,Instagram,Beauty,INF_3529,@creator_27347,Micro,109736.58,255358.94,2.33,2.926,1.242,0.908
CMP_00146,Instagram,Food,INF_3719,@creator_28268,Macro,312381.47,743595.31,2.38,2.205,1.178,0.553
CMP_00147,Instagram,Fashion,INF_6175,@creator_35032,Nano,45820.23,141363.12,3.09,1.341,1.076,0.746
CMP_00148,YouTube,Food,INF_7928,@creator_53108,Mega,2230438.88,2979906.38,1.34,1.613,1.268,0.716
CMP_00149,Instagram,Food,INF_7140,@creator_86373,Micro,292040.9,1012115.55,3.47,1.497,1.097,0.615
CMP_00150,Instagram,Tech,INF_7356,@creator_69353,Nano,34472.09,104934.88,3.04,2.952,1.331,0.92
CMP_00151,Instagram,Food,INF_8961,@creator_20749,Nano,29002.92,70248.89,2.42,1.649,1.308,0.578
CMP_00152,YouTube,Tech,INF_1016,@creator_13191,Nano,38924.41,86530.65,2.22,2.376,1.203,0.591
CMP_00153,YouTube,Fitness,INF_8088,@creator_59230,Micro,275666.0,572523.18,2.08,1.901,1.359,0.484
CMP_00154,Instagram,D2C,INF_8788,@creator_38082,Micro,95676.48,231581.62,2.42,1.024,1.385,0.74
CMP_00155,YouTube,D2C,INF_9754,@creator_38138,Macro,588491.65,905358.34,1.54,2.099,1.341,0.372
CMP_00156,TikTok,Gaming,INF_3376,@creator_62161,Macro,767145.28,2866054.53,3.74,1.021,1.139,0.316
CMP_00157,TikTok,Fashion,INF_9843,@creator_15978,Macro,985979.23,3533234.82,3.58,2.204,1.254,1.029
CMP_00158,Instagram,Gaming,INF_6784,@creator_80119,Micro,175056.91,519036.2,2.96,1.879,1.265,0.837
CMP_00159,TikTok,Gaming,INF_6341,@creator_58758,Mega,2758537.32,8083642.33,2.93,1.517,1.24,0.579
CMP_00160,Instagram,Gaming,INF_5330,@creator_68712,Micro,286225.37,945124.01,3.3,1.086,1.108,0.399
CMP_00161,Instagram,Gaming,INF_4754,@creator_37044,Nano,55420.86,215588.74,3.89,2.017,1.154,0.7
CMP_00162,YouTube,D2C,INF_8353,@creator_75095,Nano,34800.73,87009.16,2.5,2.453,1.397,0.392
CMP_00163,Instagram,Gaming,INF_3159,@creator_47900,Macro,677086.97,2067310.24,3.05,2.048,1.347,0.932
CMP_00164,YouTube,D2C,INF_8378,@creator_92617,Nano,42098.57,71605.36,1.7,1.897,1.303,1.047
CMP_00165,YouTube,Tech,INF_6891,@creator_71627,Nano,67651.84,139507.48,2.06,1.186,1.256,0.737
CMP_00166,Instagram,Food,INF_1161,@creator_26029,Nano,68299.34,219278.78,3.21,1.54,1.339,0.534
CMP_00167,YouTube,Fintech,INF_1867,@creator_20258,Nano,46411.94,86570.96,1.87,1.295,1.165,0.565
CMP_00168,YouTube,Fitness,INF_6237,@creator_85564,Micro,118165.62,199999.45,1.69,2.275,1.224,0.499
CMP_00169,TikTok,Fitness,INF_7397,@creator_45525,Nano,51084.73,211359.93,4.14,1.597,1.379,0.454
CMP_00170,Instagram,Tech,INF_4331,@creator_39309,Micro,240146.65,637725.12,2.66,1.993,1.203,0.835
CMP_00171,Instagram,D2C,INF_7868,@creator_90797,Macro,497921.98,852411.55,1.71,1.089,1.063,0.435
CMP_00172,YouTube,Fintech,INF_6347,@creator_69063,Nano,22790.04,54149.4,2.38,2.239,1.247,0.556
CMP_00173,Instagram,Gaming,INF_2171,@creator_87454,Micro,274069.84,842281.54,3.07,1.787,1.34,0.841
CMP_00174,Instagram,D2C,INF_2938,@creator_67714,Nano,78320.32,247834.57,3.16,2.217,1.172,0.321
CMP_00175,TikTok,D2C,INF_1572,@creator_17521,Micro,168875.13,637786.14,3.78,2.085,1.327,0.746
CMP_00176,Instagram,Tech,INF_4137,@creator_75633,Macro,903390.84,2028178.45,2.25,1.92,1.312,0.522
CMP_00177,TikTok,Fitness,INF_6055,@creator_73878,Macro,910494.99,2603097.27,2.86,2.09,1.315,0.509
CMP_00178,Instagram,Fintech,INF_7823,@creator_28489,Nano,65043.77,183307.77,2.82,2.116,1.243,0.33
CMP_00179,YouTube,D2C,INF_7744,@creator_61578,Micro,163692.4,314132.21,1.92,2.551,1.388,0.491
CMP_00180,Instagram,Tech,INF_6000,@creator_31038,Nano,31750.45,96244.83,3.03,2.794,1.232,0.593
CMP_00181,Instagram,Fitness,INF_5135,@creator_16629,Nano,28442.69,84031.29,2.95,1.404,1.114,0.922
CMP_00182,YouTube,Fintech,INF_8183,@creator_64400,Macro,592432.69,1301027.47,2.2,2.968,1.284,0.719
CMP_00183,Instagram,Fitness,INF_7274,@creator_36819,Micro,238257.8,806845.08,3.39,2.781,1.078,0.695
CMP_00184,Instagram,Fitness,INF_8544,@creator_40090,Macro,930907.21,2868428.8,3.08,2.303,1.16,0.5
CMP_00185,Instagram,Food,INF_9381,@creator_35556,Macro,594083.11,1227046.34,2.07,2.811,1.309,0.427
CMP_00186,YouTube,Food,INF_8950,@creator_42602,Micro,219511.27,490642.18,2.24,1.253,1.287,0.62
CMP_00187,YouTube,D2C,INF_7659,@creator_97960,Nano,32931.79,81876.3,2.49,1.721,1.074,0.887
CMP_00188,Instagram,Beauty,INF_8374,@creator_20449,Macro,755537.98,1843957.22,2.44,2.748,1.05,0.384
CMP_00189,Instagram,Fintech,INF_6661,@creator_81678,Nano,26643.24,89492.25,3.36,1.845,1.065,0.88
CMP_00190,Instagram,Fitness,INF_6394,@creator_34264,Macro,887622.64,2605164.52,2.93,2.964,1.267,0.683
CMP_00191,Instagram,Gaming,INF_3723,@creator_41655,Micro,137929.47,507728.23,3.68,1.092,1.249,0.522
CMP_00192,Instagram,Food,INF_8804,@creator_99709,Macro,538284.09,1048267.58,1.95,2.978,1.269,0.706
CMP_00193,Instagram,Fintech,INF_1660,@creator_60500,Macro,476615.07,1185818.06,2.49,1.44,1.221,0.782
CMP_00194,Instagram,Food,INF_8986,@creator_71944,Micro,234579.43,712177.96,3.04,1.475,1.229,0.341
CMP_00195,TikTok,Fashion,INF_5005,@creator_50197,Micro,276125.6,809481.48,2.93,1.006,1.064,0.958
CMP_00196,Instagram,Tech,INF_9333,@creator_15410,Micro,178442.99,610158.13,3.42,1.949,1.257,0.714
CMP_00197,Instagram,Tech,INF_6482,@creator_75333,Micro,284985.82,632688.85,2.22,1.794,1.08,0.611
CMP_00198,TikTok,Tech,INF_2517,@creator_91554,Micro,179131.34,852520.79,4.76,2.859,1.108,0.678
CMP_00199,Instagram,Tech,INF_7246,@creator_13321,Nano,63283.61,200448.54,3.17,2.726,1.051,0.842
CMP_00200,YouTube,Food,INF_2774,@creator_20651,Nano,52975.02,112338.13,2.12,2.801,1.191,0.63
CMP_00201,YouTube,Fitness,INF_5658,@creator_86917,Micro,105462.27,226961.02,2.15,1.309,1.11,0.893
CMP_00202,TikTok,Fashion,INF_3466,@creator_12282,Nano,49160.03,202743.63,4.12,2.154,1.065,0.404
CMP_00203,YouTube,Food,INF_2130,@creator_46268,Nano,36522.87,86953.49,2.38,1.613,1.326,0.747
CMP_00204,TikTok,D2C,INF_2141,@creator_93555,Nano,43578.45,211688.31,4.86,2.052,1.229,0.464
CMP_00205,Instagram,Fashion,INF_6546,@creator_54014,Micro,95776.62,271421.62,2.83,1.819,1.159,0.76
CMP_00206,TikTok,Beauty,INF_6744,@creator_93820,Nano,78321.52,343808.58,4.39,1.457,1.392,0.476
CMP_00207,TikTok,Fitness,INF_3309,@creator_89674,Nano,28823.71,88248.33,3.06,1.976,1.096,0.793
CMP_00208,Instagram,Fashion,INF_3416,@creator_35372,Macro,501883.81,1377935.77,2.75,2.922,1.186,0.514
CMP_00209,Instagram,Fashion,INF_5916,@creator_15498,Nano,70312.95,244053.26,3.47,1.712,1.339,0.679
CMP_00210,Instagram,Fitness,INF_4456,@creator_40654,Micro,110623.27,434485.27,3.93,1.888,1.269,0.591
CMP_00211,YouTube,Tech,INF_3567,@creator_11307,Micro,267562.71,671151.74,2.51,2.422,1.367,0.447
CMP_00212,Instagram,Fintech,INF_7538,@creator_36086,Nano,27489.25,83485.59,3.04,2.588,1.147,0.99
CMP_00213,TikTok,Food,INF_8166,@creator_88518,Macro,562730.94,3081833.23,5.48,1.572,1.121,0.758
CMP_00214,Instagram,Fitness,INF_4802,@creator_31083,Macro,879263.25,2226873.56,2.53,2.529,1.251,0.834
CMP_00215,TikTok,Fitness,INF_6442,@creator_78026,Nano,21847.4,118451.85,5.42,2.943,1.127,0.985
CMP_00216,YouTube,Tech,INF_7337,@creator_21944,Nano,36725.59,89938.03,2.45,1.421,1.385,0.398
CMP_00217,Instagram,D2C,INF_4363,@creator_42792,Nano,57974.38,203963.05,3.52,1.138,1.052,1.0
CMP_00218,YouTube,D2C,INF_5897,@creator_64189,Nano,36820.07,116656.81,3.17,2.375,1.059,0.576
CMP_00219,YouTube,Tech,INF_6242,@creator_84085,Mega,1599131.36,1811239.46,1.13,1.154,1.225,1.013
CMP_00220,Instagram,D2C,INF_2238,@creator_80263,Micro,169122.59,546699.22,3.23,2.812,1.163,0.55
CMP_00221,YouTube,Tech,INF_1182,@creator_17190,Micro,270725.36,725066.46,2.68,1.908,1.338,0.795
CMP_00222,Instagram,Tech,INF_7846,@creator_94227,Macro,400013.17,918065.54,2.3,2.551,1.145,0.573
CMP_00223,Instagram,Food,INF_6086,@creator_68608,Micro,192448.41,517111.63,2.69,1.094,1.147,0.651
CMP_00224,Instagram,Fitness,INF_6738,@creator_42402,Macro,695489.05,1437904.06,2.07,2.733,1.25,1.013
CMP_00225,TikTok,Fitness,INF_9662,@creator_49129,Nano,53877.74,233579.49,4.34,2.86,1.345,0.55
CMP_00226,Instagram,Gaming,INF_6904,@creator_64040,Macro,508636.55,1261753.28,2.48,1.211,1.324,0.612
CMP_00227,Instagram,Beauty,INF_2519,@creator_97697,Micro,219573.31,820066.57,3.73,2.542,1.051,0.771
CMP_00228,YouTube,Beauty,INF_4893,@creator_44773,Micro,127462.95,312085.36,2.45,2.356,1.263,0.484
CMP_00229,Instagram,Food,INF_1539,@creator_57591,Nano,48089.25,184112.63,3.83,2.158,1.08,0.33
CMP_00230,Instagram,D2C,INF_4748,@creator_28199,Macro,886785.75,2289133.32,2.58,2.419,1.382,0.329
CMP_00231,Instagram,Tech,INF_9931,@creator_11401,Micro,194187.1,617676.14,3.18,2.355,1.159,0.869
CMP_00232,Instagram,Tech,INF_3222,@creator_40116,Nano,35934.97,99570.01,2.77,1.035,1.153,0.804
