Campaign_ID,Influencer_ID,Category,Influencer_Tier,Followers_Count,Platform,Date_Posted,Cost_Fee_INR,Impressions,Likes,Comments,Shares,Link_Clicks,Total_Orders,Total_Revenue_INR
CMP_202501_36,INF_4ED6C02E,Beauty,Micro,71720,TikTok,2025-01-19,24258,35484,948,55,111,241,3,5364
CMP_202511_68,INF_425655C3,Fashion,Micro,24017,Instagram,2025-11-01,5618,23754,1076,63,126,279,0,0
CMP_202506_80,INF_9240047D,Tech,Nano,9309,YouTube,2025-06-14,5499,10996,373,21,43,372,11,169214
CMP_202501_48,INF_81DC7C1E,Lifestyle,Nano,8377,YouTube,2025-01-10,11481,3029,98,5,11,133,5,12172
CMP_202511_98,INF_41C9C7D0,Finance,Micro,43470,Instagram,2025-11-13,11386,47175,1596,93,187,74,0,0
CMP_202505_90,INF_DB53584A,Fashion,Mid,456279,YouTube,2025-05-17,474237,531441,13435,790,1580,26052,1020,3493061
CMP_202508_49,INF_90140036,Lifestyle,Micro,79813,LinkedIn,2025-08-27,110356,61541,1150,67,135,1212,46,91582
CMP_202501_77,INF_20EDF04A,Lifestyle,Micro,36504,TikTok,2025-01-19,1740,51212,1214,71,142,823,6,15120
CMP_202512_28,INF_4EA03A14,Finance,Nano,9535,Instagram,2025-12-08,5594,3382,87,5,10,47,0,0
CMP_202508_96,INF_18CD51EC,Finance,Micro,38540,LinkedIn,2025-08-18,35013,13358,161,9,19,220,4,40645
CMP_202507_38,INF_CE8CDAC4,Gaming,Micro,41505,Instagram,2025-07-10,23290,18052,820,48,96,270,4,6911
CMP_202512_44,INF_E57E32AE,Beauty,Nano,9639,Instagram,2025-12-12,4341,12111,328,19,38,83,2,3231
CMP_202504_40,INF_8CEC0B2C,Fashion,Nano,5871,YouTube,2025-04-17,9929,8969,365,21,43,319,14,34800
CMP_202506_51,INF_895C2FC9,Beauty,Mid,428724,LinkedIn,2025-06-25,401643,365377,2794,164,328,4164,265,387071
CMP_202509_91,INF_0EC6BC74,Gaming,Mid,416075,TikTok,2025-09-08,57795,440793,5209,306,612,5947,70,82542
CMP_202510_11,INF_958D6456,Beauty,Nano,7858,TikTok,2025-10-10,1000,6402,180,10,21,57,1,1956
CMP_202508_31,INF_F9139412,Fashion,Nano,9802,Instagram,2025-08-09,3248,9038,395,23,46,120,2,3331
CMP_202511_57,INF_865C9EAF,Lifestyle,Mid,472730,YouTube,2025-11-15,256482,789652,20334,1196,2392,26621,827,1565803
CMP_202511_66,INF_41EB24AD,Fashion,Micro,40235,TikTok,2025-11-03,8092,60771,930,54,109,153,2,7238
CMP_202510_55,INF_1C8B9650,Lifestyle,Mid,298271,LinkedIn,2025-10-21,414350,217935,6332,372,745,4300,159,343640
CMP_202504_22,INF_35459A2E,Gaming,Micro,82242,YouTube,2025-04-09,135679,94371,2692,158,316,3607,119,118141
CMP_202503_88,INF_ECD86A8C,Finance,Nano,8746,YouTube,2025-03-20,21915,11661,493,29,58,378,7,74417
CMP_202506_33,INF_2844D54B,Lifestyle,Micro,71041,LinkedIn,2025-06-09,73417,33664,1206,70,141,538,20,59185
CMP_202510_67,INF_2844D54B,Lifestyle,Micro,71041,LinkedIn,2025-10-06,74293,19240,566,33,66,217,7,18868
CMP_202506_43,INF_E27D3AA2,Fashion,Nano,9925,Instagram,2025-06-18,2604,9094,375,22,44,133,2,4411
CMP_202512_91,INF_18EE8418,Lifestyle,Nano,6696,TikTok,2025-12-31,1501,2671,79,4,9,7,0,0
CMP_202503_36,INF_CDC151C3,Finance,Micro,27843,Instagram,2025-03-22,7304,13408,437,25,51,153,0,0
CMP_202503_54,INF_A6B8E2DB,Beauty,Nano,6435,Instagram,2025-03-14,1377,3793,107,6,12,36,0,0
CMP_202511_48,INF_2DAD3214,Beauty,Nano,9975,YouTube,2025-11-06,10303,23292,341,20,40,988,47,54811
CMP_202511_19,INF_E4C99594,Gaming,Micro,28265,LinkedIn,2025-11-29,67576,24574,912,53,107,203,8,4229
CMP_202501_21,INF_21F5E5F2,Beauty,Micro,36873,Instagram,2025-01-31,6132,17904,546,32,64,264,8,15660
CMP_202504_46,INF_25430FE6,Finance,Micro,17007,Instagram,2025-04-15,3124,4943,182,10,21,87,0,0
CMP_202506_65,INF_1AEF48C4,Beauty,Micro,60616,Instagram,2025-06-02,29395,42859,1974,116,232,903,3,4776
CMP_202508_29,INF_34BE7FB8,Fashion,Micro,15847,TikTok,2025-08-05,2885,15638,197,11,23,141,3,6990
CMP_202510_72,INF_E519628E,Tech,Micro,47932,Instagram,2025-10-13,10096,28538,395,23,46,342,0,0
CMP_202512_92,INF_BB8AE683,Fashion,Micro,76603,YouTube,2025-12-07,81714,83531,2482,146,292,3063,105,351444
CMP_202511_68,INF_01A4DAED,Fashion,Micro,17715,TikTok,2025-11-05,1025,15647,532,31,62,242,0,0
CMP_202505_95,INF_D6271E3B,Fashion,Micro,84795,TikTok,2025-05-09,13534,25747,510,30,60,99,0,0
CMP_202501_91,INF_43BEA71B,Fashion,Nano,5779,TikTok,2025-01-20,1000,7017,74,4,8,65,1,2768
CMP_202509_16,INF_8D05EE14,Fashion,Macro,908571,Instagram,2025-09-29,494820,1537762,13469,792,1584,20803,55,186177
CMP_202503_40,INF_D718876C,Beauty,Nano,9567,YouTube,2025-03-06,3765,21543,878,51,103,991,4,5555
CMP_202504_86,INF_A3D20595,Gaming,Nano,5199,Instagram,2025-04-16,1319,6484,239,14,28,22,0,0
CMP_202512_73,INF_959F1A0F,Finance,Mid,395467,LinkedIn,2025-12-30,356236,583735,8310,488,977,11836,173,1664862
CMP_202512_65,INF_0D239437,Finance,Nano,7694,Instagram,2025-12-29,1879,6328,90,5,10,149,2,10099
CMP_202501_22,INF_9AA380A3,Gaming,Nano,5010,LinkedIn,2025-01-06,6016,6191,100,5,11,119,5,3580
CMP_202509_61,INF_99E0B8EB,Gaming,Macro,606896,Instagram,2025-09-02,150198,644284,4033,237,474,6328,142,302822
CMP_202510_37,INF_559C8643,Gaming,Micro,87759,LinkedIn,2025-10-30,140016,98573,4095,240,481,1897,103,165005
CMP_202504_72,INF_7E5BE0B3,Finance,Nano,8428,Instagram,2025-04-28,4388,13882,700,41,82,74,0,0
CMP_202512_20,INF_BF9CD475,Lifestyle,Micro,53278,Instagram,2025-12-27,17382,100653,986,58,116,991,16,23515
CMP_202510_12,INF_23758331,Lifestyle,Mid,179343,Instagram,2025-10-22,52478,282395,6704,394,788,4312,92,221297
CMP_202504_97,INF_3A0BBD8A,Lifestyle,Mega,1743441,TikTok,2025-04-07,169045,1504652,19495,1146,2293,5352,43,110798
CMP_202510_68,INF_AF8C1ED0,Tech,Micro,41716,LinkedIn,2025-10-04,60161,11658,564,33,66,241,6,94488
CMP_202504_13,INF_9EEC2ACC,Lifestyle,Micro,96343,TikTok,2025-04-19,8887,95731,1190,70,140,763,8,11415
CMP_202503_40,INF_9CE4D53C,Lifestyle,Nano,6988,YouTube,2025-03-20,7968,2363,91,5,10,107,0,0
CMP_202501_39,INF_8F87F9D9,Fashion,Nano,7939,LinkedIn,2025-01-03,5362,3494,55,3,6,39,0,0
CMP_202501_67,INF_42DFDA23,Gaming,Micro,57473,Instagram,2025-01-16,12413,68571,1049,61,123,432,14,16949
CMP_202501_72,INF_EA0744A5,Lifestyle,Micro,83779,YouTube,2025-01-03,150522,151210,6564,386,772,6902,22,61247
CMP_202505_26,INF_14EF945A,Beauty,Nano,5268,LinkedIn,2025-05-06,7127,3840,85,5,10,49,2,3463
CMP_202511_37,INF_6D61B95E,Fashion,Micro,14258,LinkedIn,2025-11-10,27121,26986,1307,76,153,314,15,54268
CMP_202511_88,INF_DD20F8A3,Fashion,Mid,242617,Instagram,2025-11-30,34648,233242,1600,94,188,3809,8,29538
CMP_202507_69,INF_3703FE3D,Finance,Nano,6050,Instagram,2025-07-09,1000,7056,178,10,21,144,1,14186
CMP_202601_92,INF_9F9609D3,Fashion,Nano,7180,YouTube,2026-01-01,6474,5952,78,4,9,269,1,2317
CMP_202502_81,INF_793EB3B8,Tech,Mid,465465,YouTube,2025-02-06,969629,319396,4148,244,488,14536,296,2073959
CMP_202508_90,INF_672BA569,Beauty,Nano,8843,LinkedIn,2025-08-30,9590,7763,320,18,37,139,8,12264
CMP_202506_24,INF_226BFB28,Tech,Micro,22815,LinkedIn,2025-06-24,52257,27768,351,20,41,470,15,304904
CMP_202502_17,INF_6B38B04E,Lifestyle,Nano,6630,TikTok,2025-02-01,1000,4107,53,3,6,4,0,0
CMP_202510_63,INF_805AB897,Beauty,Nano,8531,YouTube,2025-10-27,8312,22406,496,29,58,896,43,51943
CMP_202501_54,INF_9ECB8331,Tech,Macro,925296,Instagram,2025-01-30,165463,320455,9253,544,1088,4529,9,171060
CMP_202503_76,INF_25430FE6,Finance,Micro,17007,TikTok,2025-03-13,1000,9396,155,9,18,22,0,0
CMP_202510_35,INF_8CEC0B2C,Fashion,Nano,5871,LinkedIn,2025-10-02,10192,6591,196,11,23,128,6,22538
CMP_202506_51,INF_1CB6EAA1,Fashion,Micro,50471,YouTube,2025-06-12,28091,71685,2016,118,237,3185,119,180719
CMP_202511_64,INF_EE05436D,Lifestyle,Nano,9414,Instagram,2025-11-19,4458,20447,660,38,77,180,0,0
CMP_202508_67,INF_3C1E5714,Finance,Mid,263827,YouTube,2025-08-13,151643,132631,5618,330,661,5956,125,1135940
CMP_202508_22,INF_8C45BEE3,Finance,Micro,42819,Instagram,2025-08-09,6537,32252,331,19,39,411,0,0
CMP_202511_21,INF_BF9CD475,Lifestyle,Micro,53278,LinkedIn,2025-11-14,151675,21476,949,55,111,173,6,12736
CMP_202503_35,INF_BE0D20BC,Finance,Nano,9442,LinkedIn,2025-03-05,16146,16230,454,26,53,336,0,0
CMP_202510_48,INF_1C8B9650,Lifestyle,Mid,298271,YouTube,2025-10-17,574541,68551,3131,184,368,2424,85,204034
CMP_202509_81,INF_F03EE468,Fashion,Micro,12229,YouTube,2025-09-07,9721,10981,298,17,35,378,15,53119
CMP_202507_47,INF_91535EE3,Tech,Nano,9693,TikTok,2025-07-27,1000,2358,113,6,13,2,0,0
CMP_202508_86,INF_7A788A1C,Finance,Mid,268753,YouTube,2025-08-31,353562,233209,1599,94,188,9502,153,2224820
CMP_202505_63,INF_888F18D2,Beauty,Micro,35498,LinkedIn,2025-05-11,52685,28335,988,58,116,583,34,50768
CMP_202505_32,INF_65F022D7,Finance,Micro,62540,Instagram,2025-05-15,39037,78700,1604,94,188,885,4,47844
CMP_202505_44,INF_810C6D02,Tech,Mid,259500,LinkedIn,2025-05-27,302453,448660,5270,310,620,5830,175,1766077
CMP_202505_34,INF_7CBAAA8B,Finance,Micro,58575,Instagram,2025-05-29,8865,33363,1563,91,183,220,0,0
CMP_202510_75,INF_C26E4151,Tech,Mid,434160,LinkedIn,2025-10-25,553531,258888,4068,239,478,3545,111,2497878
CMP_202507_17,INF_6646DA51,Fashion,Mid,419710,TikTok,2025-07-20,38012,1135086,16676,980,1961,11858,254,749214
CMP_202508_65,INF_59B56DA4,Beauty,Macro,613572,YouTube,2025-08-25,901465,949830,26415,1553,3107,43038,2149,3960516
CMP_202504_81,INF_A79E26CC,Beauty,Micro,13981,Instagram,2025-04-30,1868,32645,745,43,87,547,16,19889
CMP_202512_17,INF_5FDDE301,Beauty,Nano,5299,YouTube,2025-12-28,7644,4148,42,2,5,167,9,16598
CMP_202501_76,INF_869F1AB6,Tech,Mid,229615,TikTok,2025-01-25,43503,72758,1298,76,152,421,6,97068
CMP_202507_58,INF_4B7E8479,Tech,Micro,57121,TikTok,2025-07-08,10034,25323,646,38,76,281,4,29445
CMP_202504_31,INF_7EDD0726,Lifestyle,Micro,70979,TikTok,2025-04-01,7802,102269,4892,287,575,1531,29,56582
CMP_202510_66,INF_B444F474,Tech,Mid,208308,YouTube,2025-10-05,184809,149813,6773,398,796,5797,135,1566970
CMP_202508_82,INF_A3403F07,Lifestyle,Micro,30887,Instagram,2025-08-19,19192,26312,1335,78,157,289,5,13617
CMP_202506_97,INF_CC7D55BF,Beauty,Macro,709252,TikTok,2025-06-19,33795,841123,18242,1073,2146,11055,210,404330
CMP_202504_72,INF_DC4CFF7B,Gaming,Micro,74250,TikTok,2025-04-07,11752,38942,1219,71,143,225,0,0
CMP_202510_37,INF_F73471C4,Gaming,Mega,1164203,YouTube,2025-10-27,944446,760788,21391,1258,2516,32218,1326,1678805
CMP_202504_76,INF_528E030C,Tech,Nano,6836,YouTube,2025-04-04,15300,8115,115,6,13,357,9,212035
CMP_202507_30,INF_BAAAE281,Tech,Micro,74451,Instagram,2025-07-10,27955,69407,2620,154,308,806,12,212603
CMP_202505_23,INF_12014A05,Fashion,Macro,668818,LinkedIn,2025-05-24,460541,406098,4448,261,523,5924,322,744106
CMP_202501_20,INF_A6E35F29,Tech,Nano,5299,TikTok,2025-01-02,1000,2599,106,6,12,32,0,0
CMP_202506_86,INF_CC7D55BF,Beauty,Macro,709252,YouTube,2025-06-09,844010,117225,1173,69,138,4425,256,274990
CMP_202507_21,INF_DADEB21F,Fashion,Micro,48393,YouTube,2025-07-26,37786,31886,929,54,109,1403,50,123230
CMP_202509_78,INF_C78A019C,Lifestyle,Nano,7163,LinkedIn,2025-09-27,9451,2786,119,7,14,42,1,1715
CMP_202505_13,INF_1870B844,Beauty,Nano,9072,TikTok,2025-05-05,1000,7919,382,22,45,63,0,0
CMP_202511_87,INF_5B788E54,Tech,Micro,86305,TikTok,2025-11-15,18881,67057,2918,171,343,426,4,76581
CMP_202512_13,INF_A5CD33FE,Lifestyle,Nano,9829,Instagram,2025-12-20,4261,22789,910,53,107,296,6,13323
CMP_202510_31,INF_4AD6CD0A,Gaming,Nano,7071,LinkedIn,2025-10-01,8021,5797,72,4,8,82,3,1772
CMP_202509_65,INF_E1D63422,Fashion,Mega,1084744,YouTube,2025-09-01,1274358,560065,4709,277,554,25209,1026,2426916
CMP_202505_59,INF_B40EECE8,Fashion,Mid,138204,YouTube,2025-05-19,77878,70718,3267,192,384,3044,145,385876
CMP_202509_93,INF_E28BE210,Gaming,Micro,65745,TikTok,2025-09-30,11287,43236,726,42,85,404,7,16898
CMP_202509_93,INF_F1B442BD,Fashion,Nano,9251,LinkedIn,2025-09-18,21248,6400,94,5,11,84,3,8585
CMP_202503_59,INF_5E28EDFA,Beauty,Mid,258743,Instagram,2025-03-28,81896,400977,5431,319,639,7230,242,295066
CMP_202506_88,INF_21D4F8FC,Fashion,Mid,232717,YouTube,2025-06-26,292063,458131,4257,250,500,19110,944,1746272
CMP_202511_31,INF_125815C8,Gaming,Nano,8091,YouTube,2025-11-15,6902,7316,67,3,7,246,10,11547
CMP_202505_15,INF_38CD7FB7,Lifestyle,Nano,9359,LinkedIn,2025-05-20,11893,6110,247,14,29,82,3,6320
CMP_202601_97,INF_6284FA7D,Fashion,Mega,3138029,YouTube,2026-01-01,2191862,3636153,62317,3665,7331,124053,4994,15535941
CMP_202508_64,INF_3C16EB33,Beauty,Micro,21571,YouTube,2025-08-01,25838,15138,255,15,30,644,3,3926
CMP_202508_91,INF_E7E5B680,Gaming,Nano,9298,LinkedIn,2025-08-18,17177,2876,62,3,7,31,1,2468
CMP_202511_30,INF_8DD22F0C,Tech,Micro,91507,Instagram,2025-11-26,23394,48164,1311,77,154,280,2,12882
CMP_202511_33,INF_3C1E5714,Finance,Mid,263827,YouTube,2025-11-12,393736,224578,3382,198,397,8888,85,1131728
CMP_202503_12,INF_ABD66946,Fashion,Micro,18227,LinkedIn,2025-03-19,37231,37297,1806,106,212,798,3,10974
CMP_202503_30,INF_6B03087F,Beauty,Mid,103538,YouTube,2025-03-30,98789,59811,2844,167,334,2715,130,135320
CMP_202510_45,INF_25430FE6,Finance,Micro,17007,LinkedIn,2025-10-17,18023,4059,146,8,17,49,0,0
CMP_202508_20,INF_C388A8CF,Lifestyle,Nano,7652,Instagram,2025-08-31,4063,8193,366,21,43,135,2,3371
CMP_202501_42,INF_05D90850,Gaming,Micro,34234,TikTok,2025-01-29,4455,14094,175,10,20,14,0,0
CMP_202504_91,INF_6C8D262B,Lifestyle,Micro,10833,TikTok,2025-04-21,2635,12679,213,12,25,50,0,0
CMP_202501_79,INF_AB972B79,Lifestyle,Micro,87681,LinkedIn,2025-01-09,75225,69542,2004,117,235,1242,53,78268
CMP_202503_58,INF_2E17D426,Lifestyle,Nano,5201,Instagram,2025-03-04,1538,5805,166,9,19,38,0,0
CMP_202505_36,INF_39D2E6E3,Lifestyle,Mid,112202,TikTok,2025-05-14,43794,41905,1252,73,147,382,8,14095
CMP_202506_92,INF_AE5B1E3F,Finance,Micro,87048,TikTok,2025-06-30,7238,39772,1881,110,221,385,2,20597
CMP_202501_21,INF_3D8661D3,Fashion,Micro,77032,Instagram,2025-01-04,22339,60793,1303,76,153,91,0,0
CMP_202504_21,INF_888F18D2,Beauty,Micro,35498,LinkedIn,2025-04-08,70394,28857,529,31,62,400,25,41147
CMP_202506_28,INF_81DC7C1E,Lifestyle,Nano,8377,TikTok,2025-06-09,1524,8295,388,22,45,94,0,0
CMP_202511_24,INF_F2669C19,Beauty,Nano,9618,Instagram,2025-11-20,2948,9624,312,18,36,29,0,0
CMP_202508_69,INF_25430FE6,Finance,Micro,17007,TikTok,2025-08-12,5257,17472,627,36,73,158,0,0
CMP_202509_21,INF_215B8F04,Fashion,Nano,7773,LinkedIn,2025-09-17,11849,20421,194,11,22,327,17,64767
CMP_202509_23,INF_C47035A5,Tech,Nano,6138,YouTube,2025-09-14,6513,2763,27,1,3,100,2,14003
CMP_202503_56,INF_496E31E8,Lifestyle,Micro,29312,YouTube,2025-03-10,18702,36487,1827,107,215,1731,75,124035
CMP_202508_87,INF_7B438D89,Gaming,Micro,36396,Instagram,2025-08-04,5507,28519,955,56,112,388,0,0
CMP_202503_92,INF_A91DFE28,Lifestyle,Micro,50728,LinkedIn,2025-03-04,67376,40006,1342,78,157,563,20,40001
CMP_202501_66,INF_57AE7D02,Lifestyle,Macro,793690,Instagram,2025-01-24,206894,624351,13983,822,1645,8748,127,248968
CMP_202510_94,INF_C8C92233,Tech,Nano,8038,LinkedIn,2025-10-09,7153,1765,33,1,3,32,1,18408
CMP_202504_45,INF_CA4937A9,Tech,Nano,9319,TikTok,2025-04-12,1000,4193,204,12,24,35,0,0
CMP_202506_21,INF_1AEF48C4,Beauty,Micro,60616,TikTok,2025-06-29,4807,29150,1437,84,169,78,0,0
CMP_202510_11,INF_75A6387A,Tech,Micro,31993,LinkedIn,2025-10-13,39095,33410,980,57,115,466,13,224328
CMP_202501_42,INF_A9B3709F,Finance,Nano,9319,YouTube,2025-01-16,10083,8707,279,16,32,384,2,25057
CMP_202509_21,INF_05D90850,Gaming,Micro,34234,TikTok,2025-09-18,8737,50730,693,40,81,732,6,6228
CMP_202507_83,INF_43BEA71B,Fashion,Nano,5779,TikTok,2025-07-09,1000,7567,297,17,35,84,0,0
CMP_202507_23,INF_ED1D5202,Fashion,Nano,8914,Instagram,2025-07-22,1210,11838,515,30,60,130,2,6034
CMP_202509_30,INF_AF05A281,Tech,Macro,500994,YouTube,2025-09-12,804788,1075751,11833,696,1392,56618,1526,23083669
CMP_202512_73,INF_F36DD0C0,Gaming,Nano,6813,YouTube,2025-12-12,5216,6701,273,16,32,298,12,24645
CMP_202502_23,INF_122A00DF,Gaming,Micro,75171,Instagram,2025-02-21,34870,51066,487,28,57,235,6,9235
CMP_202506_35,INF_63E184AE,Lifestyle,Nano,9249,YouTube,2025-06-10,9497,3643,62,3,7,143,5,5653
CMP_202512_15,INF_72F087B4,Fashion,Mid,345738,YouTube,2025-12-06,227377,423014,4912,288,577,15719,62,164914
CMP_202505_65,INF_267A08BC,Lifestyle,Nano,6337,YouTube,2025-05-29,7803,11317,325,19,38,406,15,20371
CMP_202511_50,INF_1BC63DC4,Fashion,Micro,94606,LinkedIn,2025-11-26,97352,125049,2148,126,252,1448,75,127929
CMP_202502_92,INF_8270F7C0,Lifestyle,Micro,21306,YouTube,2025-02-28,33114,19595,218,12,25,874,36,65039
CMP_202506_92,INF_5C487DDA,Finance,Micro,72997,Instagram,2025-06-21,36148,42487,1064,62,125,553,7,40656
CMP_202504_46,INF_97211091,Gaming,Mid,494684,LinkedIn,2025-04-20,812327,800877,13622,801,1602,4095,197,161148
CMP_202506_94,INF_626F802F,Finance,Nano,7888,YouTube,2025-06-14,9738,20432,338,19,39,1046,23,172252
CMP_202503_16,INF_3101CE51,Fashion,Mid,313961,TikTok,2025-03-24,94885,383441,5517,324,649,6153,110,289281
CMP_202509_11,INF_EE47D83A,Fashion,Micro,14283,LinkedIn,2025-09-13,9766,10098,391,23,46,176,8,23581
CMP_202506_45,INF_9AFFC9ED,Beauty,Macro,889907,TikTok,2025-06-19,67896,410312,9424,554,1108,3452,4,6492
CMP_202504_11,INF_56034922,Tech,Micro,53682,Instagram,2025-04-21,15574,54674,1081,63,127,636,0,0
CMP_202511_39,INF_60F144F4,Beauty,Micro,77532,Instagram,2025-11-10,15185,64752,777,45,91,267,8,10892
CMP_202509_73,INF_C0B3F292,Lifestyle,Micro,99681,Instagram,2025-09-08,25307,129633,6510,382,765,770,16,44645
CMP_202504_98,INF_ACE35A0A,Fashion,Micro,29130,Instagram,2025-04-13,8766,19675,908,53,106,442,11,24844
CMP_202511_82,INF_F02EC19B,Lifestyle,Micro,40979,YouTube,2025-11-29,21434,51073,1530,90,180,1977,70,105288
CMP_202508_14,INF_8D05EE14,Fashion,Macro,908571,Instagram,2025-08-10,324027,1196653,15662,921,1842,12099,33,54073
CMP_202510_45,INF_14E746EF,Finance,Micro,30908,YouTube,2025-10-20,48058,41243,390,22,45,1635,2,13756
CMP_202507_61,INF_37D90433,Finance,Micro,66686,LinkedIn,2025-07-12,171266,42997,1352,79,159,724,6,86853
CMP_202510_52,INF_9B4E5479,Gaming,Mid,465233,Instagram,2025-10-29,154735,497832,10835,637,1274,1629,21,14568
CMP_202508_19,INF_F92B298F,Finance,Mid,296247,LinkedIn,2025-08-17,590225,123615,6164,362,725,2228,41,574473
CMP_202507_75,INF_52EB92EC,Fashion,Nano,5450,TikTok,2025-07-21,1000,5325,260,15,30,72,1,2018
CMP_202505_77,INF_B47CF0B1,Lifestyle,Nano,5857,TikTok,2025-05-28,1713,7497,214,12,25,63,0,0
CMP_202504_40,INF_95469C89,Gaming,Macro,694905,LinkedIn,2025-04-18,553295,447627,4378,257,515,3390,123,293738
CMP_202503_29,INF_F4A03A1E,Fashion,Mid,331258,LinkedIn,2025-03-26,186435,129164,2977,175,350,1967,88,201092
CMP_202510_11,INF_93557B57,Tech,Micro,14981,LinkedIn,2025-10-14,11351,11249,280,16,33,62,2,10499
CMP_202506_67,INF_24A15F5C,Tech,Nano,5849,Instagram,2025-06-23,1955,3008,44,2,5,56,0,0
CMP_202501_58,INF_A99D4129,Beauty,Micro,76476,Instagram,2025-01-26,18828,292306,8284,487,974,292,4,5941
CMP_202504_83,INF_A5E9C9FC,Lifestyle,Micro,67161,LinkedIn,2025-04-09,57369,96834,2210,130,260,1220,43,88440
CMP_202511_89,INF_33FE162D,Beauty,Nano,9343,LinkedIn,2025-11-02,18881,9418,132,7,15,166,10,15267
CMP_202506_32,INF_3084A072,Lifestyle,Micro,98819,LinkedIn,2025-06-08,67977,98052,4512,265,530,1295,53,87585
CMP_202509_53,INF_F4FC23D4,Fashion,Nano,8898,Instagram,2025-09-15,1415,3385,34,2,4,34,0,0
CMP_202501_38,INF_C10A66B8,Finance,Micro,72470,YouTube,2025-01-08,125701,12263,374,22,44,598,13,167881
CMP_202512_98,INF_C3AC15B7,Lifestyle,Mid,206014,LinkedIn,2025-12-02,444754,141393,6790,399,798,1901,76,113534
CMP_202511_67,INF_75FD31CC,Fashion,Micro,21192,YouTube,2025-11-29,24868,11822,171,10,20,483,18,71405
CMP_202501_89,INF_DEF0C986,Tech,Micro,19313,TikTok,2025-01-05,3169,31699,1301,76,153,233,2,30275
CMP_202507_31,INF_8270F7C0,Lifestyle,Micro,21306,LinkedIn,2025-07-24,38856,57807,2456,144,289,457,20,36344
CMP_202502_25,INF_11B2F223,Tech,Macro,670611,LinkedIn,2025-02-02,1123269,952173,11241,661,1322,10425,324,4869983
CMP_202508_21,INF_4D19989C,Fashion,Macro,791662,TikTok,2025-08-16,64985,1032796,9895,582,1164,10487,124,399957
CMP_202510_13,INF_EE872AC8,Gaming,Mega,4731815,LinkedIn,2025-10-07,10677899,1859759,38334,2254,4509,19198,929,1346665
CMP_202505_36,INF_C5B2B37D,Finance,Nano,6354,LinkedIn,2025-05-06,5314,6070,280,16,33,97,1,10540
CMP_202504_10,INF_990EEA7D,Finance,Macro,663161,Instagram,2025-04-22,285903,499326,15195,893,1787,6232,89,659757
CMP_202507_10,INF_3F2ADFE0,Beauty,Nano,8842,Instagram,2025-07-06,1000,5676,254,14,29,85,2,2400
