Campaign_ID,Influencer_ID,Influencer_Tier,Followers_Count,Platform,Format,Date_Posted,Cost_Fee_INR,Impressions,Likes,Comments,Shares,Saves,Link_Clicks,Total_Orders,Total_Revenue_INR,Promo_Code
CMP_202503_A,INF_FDE105E0,Nano,9011,LinkedIn,Article,2025-03-16,6000,5363,254,5,19,8,110,5,29559,SALE_05E0
CMP_202507_B,INF_5CA89EF8,Micro,86827,TikTok,Video,2025-07-08,8100,985680,13714,141,2716,370,10647,147,108420,SALE_9EF8
CMP_202508_C,INF_EF988DAE,Micro,49827,TikTok,Video,2025-08-27,6000,8277,445,9,33,9,71,0,0,SALE_8DAE
CMP_202511_A,INF_1F99BC94,Nano,7544,LinkedIn,Text_Post,2025-11-20,9800,8316,195,3,28,10,136,7,69930,SALE_BC94
CMP_202512_C,INF_9BBD8A5F,Micro,65465,LinkedIn,Text_Post,2025-12-13,75000,82786,959,44,48,90,1879,88,1245299,SALE_8A5F
CMP_202505_B,INF_0258F6B1,Micro,20295,LinkedIn,Text_Post,2025-05-01,10200,11228,717,20,143,19,117,5,58767,SALE_F6B1
CMP_202509_B,INF_A086CC7C,Mid,431201,TikTok,Video,2025-09-09,38100,499049,12583,212,1236,313,7047,5,7244,SALE_CC7C
CMP_202509_A,INF_96506EA8,Nano,3861,YouTube,Short,2025-09-22,1100,9743,234,2,29,15,388,14,33061,SALE_6EA8
CMP_202506_A,INF_C7DB84DF,Micro,93097,LinkedIn,Text_Post,2025-06-21,89300,15898,781,8,60,28,365,19,140517,SALE_84DF
CMP_202504_C,INF_E392056F,Mega,4511493,LinkedIn,Article,2025-04-27,3811500,7532946,261542,3275,51253,19841,124536,6866,99916492,SALE_056F
CMP_202505_C,INF_95DCB31C,Micro,85830,TikTok,Video,2025-05-19,4000,50501,2370,46,160,154,1105,1,631,SALE_B31C
CMP_202512_B,INF_89C7CA1A,Mid,296492,Instagram,Static_Post,2025-12-06,40000,180328,7347,143,1098,655,3735,71,81913,SALE_CA1A
CMP_202512_A,INF_9737C2D2,Nano,4907,Instagram,Carousel,2025-12-21,800,4188,135,4,12,8,31,0,0,SALE_C2D2
CMP_202505_C,INF_475B4B0F,Nano,1459,Instagram,Carousel,2025-05-15,600,1882,46,0,6,1,7,0,0,SALE_4B0F
CMP_202508_C,INF_283C9778,Nano,6763,Instagram,Carousel,2025-08-09,1700,7851,232,3,33,21,147,2,4282,SALE_9778
CMP_202502_C,INF_D106113A,Nano,6870,LinkedIn,Article,2025-02-19,7100,1023,71,2,10,3,8,0,0,SALE_113A
CMP_202505_A,INF_F1CD109B,Nano,9943,Instagram,Reel,2025-05-25,1600,6765,172,5,15,15,104,2,4742,SALE_109B
CMP_202506_A,INF_02BA77DE,Mid,386246,TikTok,Video,2025-06-12,78600,121967,873,20,163,76,1218,1,611,SALE_77DE
CMP_202506_C,INF_B9E5E915,Macro,595501,Instagram,Static_Post,2025-06-08,124000,484150,7648,242,844,375,5917,84,134393,SALE_E915
CMP_202504_A,INF_589FC472,Micro,25468,Instagram,Story,2025-04-02,6400,50775,2907,94,444,132,937,17,40889,SALE_C472
CMP_202509_B,INF_9A0E862D,Mid,169612,YouTube,Long_Video,2025-09-20,51200,42453,3327,105,216,78,1655,83,362254,SALE_862D
CMP_202506_A,INF_BC7B7247,Micro,41632,Instagram,Static_Post,2025-06-05,6400,31790,846,29,81,52,486,9,9836,SALE_7247
CMP_202501_A,INF_9D22B3B7,Mid,221528,TikTok,Video,2025-01-11,36100,504898,3488,128,290,167,6303,39,58215,SALE_B3B7
CMP_202501_A,INF_A1AA780E,Micro,81145,Instagram,Carousel,2025-01-04,8300,206516,8401,314,1192,636,2649,59,122349,SALE_780E
CMP_202512_B,INF_544DD144,Macro,949759,TikTok,Video,2025-12-03,72200,1325000,36765,551,2067,2608,15627,286,417102,SALE_D144
CMP_202506_A,INF_A2219552,Mid,139661,TikTok,Video,2025-06-10,6400,71162,2055,86,240,102,784,1,1160,SALE_9552
CMP_202509_A,INF_5CDAF707,Nano,8908,TikTok,Video,2025-09-07,700,8661,473,20,86,38,138,1,789,SALE_F707
CMP_202507_B,INF_4702CDDA,Micro,33567,LinkedIn,Text_Post,2025-07-22,24900,26216,1484,53,120,98,547,25,344031,SALE_CDDA
CMP_202506_B,INF_F7FC5164,Mid,363131,Instagram,Carousel,2025-06-07,38700,70407,2764,127,238,142,1279,35,47345,SALE_5164
CMP_202502_C,INF_6A14E602,Micro,42170,Instagram,Story,2025-02-24,27100,12880,901,22,146,39,138,2,4707,SALE_E602
CMP_202512_B,INF_C2EF6003,Nano,4518,TikTok,Video,2025-12-20,2000,2062,144,5,9,9,19,0,0,SALE_6003
CMP_202501_B,INF_2E33622B,Nano,6480,Instagram,Reel,2025-01-16,3000,1331,79,1,5,4,21,0,0,SALE_622B
CMP_202505_C,INF_6C5474AA,Mid,103497,Instagram,Carousel,2025-05-25,80800,7697,615,20,118,55,118,3,3985,SALE_74AA
CMP_202512_B,INF_AE7A2741,Nano,7956,Instagram,Static_Post,2025-12-08,1300,2715,73,3,10,6,40,1,1786,SALE_2741
CMP_202507_C,INF_3EEA3883,Macro,689013,LinkedIn,Article,2025-07-01,404600,283811,8467,380,1118,198,6174,312,1825502,SALE_3883
CMP_202508_C,INF_835886EC,Micro,64857,YouTube,Short,2025-08-26,24700,52467,4135,64,693,307,2291,103,476399,SALE_86EC
CMP_202502_A,INF_40D12D7C,Micro,88607,LinkedIn,Article,2025-02-14,156400,11233,382,8,68,35,245,12,77401,SALE_2D7C
CMP_202501_A,INF_224BCD98,Micro,36618,LinkedIn,Article,2025-01-15,12900,23085,1271,21,65,73,451,21,197160,SALE_CD98
CMP_202511_B,INF_D6541CF5,Mid,320447,LinkedIn,Article,2025-11-28,661000,308385,8245,203,708,565,9634,501,6737626,SALE_1CF5
CMP_202512_B,INF_E7E4AD08,Nano,6554,Instagram,Reel,2025-12-24,1400,14321,887,38,91,80,250,4,8503,SALE_AD08
CMP_202508_C,INF_AAB6824E,Micro,28893,Instagram,Reel,2025-08-09,8400,19759,568,9,69,37,334,5,11438,SALE_824E
CMP_202505_B,INF_7AA3671F,Macro,600386,Instagram,Reel,2025-05-18,141000,2883495,109089,1274,12743,9817,38020,958,2355541,SALE_671F
CMP_202506_B,INF_A01AE19B,Nano,6194,YouTube,Long_Video,2025-06-19,3100,2201,45,0,6,2,69,2,4225,SALE_E19B
CMP_202511_A,INF_FE0ED7DE,Nano,8799,TikTok,Video,2025-11-26,1600,24935,1704,66,141,152,308,6,8535,SALE_D7DE
CMP_202505_B,INF_50E77BE7,Nano,1289,Instagram,Static_Post,2025-05-02,400,1081,70,1,11,5,21,0,0,SALE_7BE7
CMP_202508_B,INF_EF988DAE,Micro,49827,TikTok,Video,2025-08-01,11400,520546,5750,102,557,342,7773,123,92499,SALE_8DAE
CMP_202503_C,INF_489A0500,Nano,1120,LinkedIn,Article,2025-03-29,2100,364,18,0,0,1,9,0,0,SALE_0500
CMP_202503_A,INF_EB299286,Nano,6080,Instagram,Carousel,2025-03-02,600,4079,294,4,32,17,70,1,1042,SALE_9286
CMP_202509_A,INF_F0CA0D57,Macro,883409,TikTok,Video,2025-09-09,74900,240616,9336,182,732,901,584,0,0,SALE_0D57
CMP_202502_A,INF_A1AA780E,Micro,81145,TikTok,Video,2025-02-07,19900,22205,1387,59,149,133,522,4,3626,SALE_780E
CMP_202502_C,INF_E8374CDA,Macro,808332,Instagram,Story,2025-02-22,176800,512851,22314,978,2879,2192,11556,235,416212,SALE_4CDA
CMP_202505_B,INF_05D81E5A,Nano,8773,Instagram,Carousel,2025-05-07,1400,8986,630,17,112,24,231,0,0,SALE_1E5A
CMP_202504_A,INF_B865B8BD,Mid,195165,LinkedIn,Article,2025-04-03,286900,52574,632,16,33,36,1567,69,415522,SALE_B8BD
CMP_202504_B,INF_C40B6D61,Nano,5254,Instagram,Story,2025-04-26,1800,1799,27,0,3,1,29,0,0,SALE_6D61
CMP_202504_C,INF_4E6CAA9E,Mid,398832,YouTube,Long_Video,2025-04-15,459700,683129,10943,499,1365,625,23290,1039,1913859,SALE_AA9E
CMP_202509_C,INF_4977BF80,Mid,208478,Instagram,Reel,2025-09-19,12500,108145,2503,102,342,151,1786,46,47703,SALE_BF80
CMP_202512_C,INF_A712465F,Micro,83264,TikTok,Video,2025-12-19,9500,48704,726,21,45,49,156,0,0,SALE_465F
CMP_202501_B,INF_1CFE1024,Nano,9981,LinkedIn,Text_Post,2025-01-09,7500,8655,618,13,38,61,150,8,95645,SALE_1024
CMP_202512_B,INF_C0F726A5,Mid,274595,YouTube,Short,2025-12-10,97400,54704,4139,182,564,92,1875,61,233032,SALE_26A5
CMP_202505_B,INF_A38C82E3,Nano,7729,YouTube,Long_Video,2025-05-25,2000,28118,429,12,34,36,838,32,60051,SALE_82E3
CMP_202508_B,INF_15CD7E3C,Mid,322373,LinkedIn,Article,2025-08-17,509000,190888,6087,89,507,474,5416,285,1859164,SALE_7E3C
CMP_202504_C,INF_1D748565,Micro,64526,Instagram,Carousel,2025-04-07,27800,75302,4340,86,669,307,997,23,18981,SALE_8565
CMP_202504_A,INF_F5E9755F,Nano,8955,LinkedIn,Article,2025-04-01,10000,39464,1046,44,58,57,670,30,152197,SALE_755F
CMP_202501_C,INF_26047AF1,Micro,57263,YouTube,Long_Video,2025-01-27,22400,74895,5820,230,1017,138,2475,89,391380,SALE_7AF1
CMP_202506_C,INF_844D6A40,Macro,996481,Instagram,Reel,2025-06-18,332000,1075328,25948,476,4911,1167,15821,305,337918,SALE_6A40
CMP_202507_C,INF_639AC1AD,Nano,1137,LinkedIn,Text_Post,2025-07-03,700,615,25,0,3,2,8,0,0,SALE_C1AD
CMP_202507_B,INF_D6B9244F,Nano,2829,Instagram,Story,2025-07-15,500,1202,24,0,4,0,21,0,0,SALE_244F
CMP_202511_C,INF_1E0DA6C4,Micro,37516,LinkedIn,Text_Post,2025-11-19,32100,43043,1120,30,62,97,706,36,288245,SALE_A6C4
CMP_202503_B,INF_C563DA5A,Nano,3802,LinkedIn,Text_Post,2025-03-12,5300,2231,52,1,6,4,45,2,16710,SALE_DA5A
CMP_202511_C,INF_45303185,Nano,5642,YouTube,Short,2025-11-05,2700,2491,62,1,11,4,79,3,6912,SALE_3185
CMP_202507_C,INF_960AA238,Mid,159050,Instagram,Static_Post,2025-07-16,22300,90677,2933,98,417,106,1792,39,43514,SALE_A238
CMP_202510_A,INF_A3D55DF7,Nano,6408,LinkedIn,Text_Post,2025-10-26,4800,10830,584,23,86,49,169,7,80962,SALE_5DF7
CMP_202508_C,INF_98410353,Nano,9242,Instagram,Reel,2025-08-16,2500,19891,690,19,100,35,239,3,6417,SALE_0353
CMP_202501_A,INF_C9319862,Micro,52746,Instagram,Static_Post,2025-01-06,5600,29100,795,17,58,64,502,10,20901,SALE_9862
CMP_202507_B,INF_CADC7E2E,Mid,405098,YouTube,Short,2025-07-23,293400,101647,1296,52,95,90,3700,151,443667,SALE_7E2E
CMP_202501_A,INF_D8A47E82,Mid,351662,Instagram,Story,2025-01-31,69900,549996,17916,412,1917,503,8186,250,416335,SALE_7E82
CMP_202512_B,INF_A0F80386,Micro,57526,Instagram,Reel,2025-12-09,23200,35741,2157,83,260,137,477,6,10746,SALE_0386
CMP_202507_C,INF_FC79E565,Micro,45576,Instagram,Carousel,2025-07-04,6700,19997,1527,55,223,78,394,8,18821,SALE_E565
CMP_202503_C,INF_AB520E9C,Nano,8498,LinkedIn,Article,2025-03-02,7100,12305,409,20,78,15,138,7,70083,SALE_0E9C
CMP_202503_A,INF_4CCB2FDB,Macro,978979,Instagram,Story,2025-03-31,272100,319660,10881,251,2034,856,6383,90,79283,SALE_2FDB
CMP_202504_C,INF_4FEF329B,Micro,29043,YouTube,Short,2025-04-09,10100,38694,775,20,99,49,1237,56,263935,SALE_329B
CMP_202504_A,INF_7F8F55A8,Nano,3364,YouTube,Short,2025-04-11,1600,7289,461,19,28,40,253,10,30599,SALE_55A8
CMP_202504_B,INF_B48E0537,Macro,537360,LinkedIn,Text_Post,2025-04-05,545500,316821,7600,235,421,156,6075,290,2923391,SALE_0537
CMP_202506_A,INF_ADEBF830,Mid,212967,YouTube,Short,2025-06-11,174000,295413,13391,405,1942,556,8812,401,1068082,SALE_F830
CMP_202505_C,INF_332476B6,Nano,5511,YouTube,Long_Video,2025-05-25,1600,4716,48,1,2,3,149,6,14932,SALE_76B6
CMP_202509_C,INF_F3D91CD9,Mid,347533,YouTube,Long_Video,2025-09-12,174300,107855,2876,86,387,283,4342,204,831781,SALE_1CD9
CMP_202504_C,INF_BA163AB9,Nano,9817,LinkedIn,Article,2025-04-25,12400,3173,98,2,15,4,90,4,20456,SALE_3AB9
CMP_202510_A,INF_7186F872,Macro,830378,LinkedIn,Text_Post,2025-10-17,1399600,212256,3650,45,512,330,3776,18,211767,SALE_F872
CMP_202504_B,INF_EC7336DF,Nano,5595,Instagram,Static_Post,2025-04-08,1300,1353,63,2,7,2,27,0,0,SALE_36DF
CMP_202504_C,INF_5C05D4B4,Nano,9942,TikTok,Video,2025-04-14,2900,1347,65,1,12,4,12,0,0,SALE_D4B4
CMP_202512_C,INF_86EA6E8D,Nano,1558,TikTok,Video,2025-12-09,200,1072,45,1,8,2,6,0,0,SALE_6E8D
CMP_202505_B,INF_F1E649E0,Micro,90777,YouTube,Short,2025-05-16,36200,90303,5426,259,453,125,3682,155,533925,SALE_49E0
CMP_202507_B,INF_A34C6DDA,Micro,77277,LinkedIn,Text_Post,2025-07-17,68800,9651,552,9,56,32,190,10,140773,SALE_6DDA
CMP_202511_B,INF_BAA6DF36,Micro,69655,LinkedIn,Text_Post,2025-11-13,55500,174909,1693,77,112,55,3490,194,2283919,SALE_DF36
CMP_202503_A,INF_EB0F0081,Micro,40913,Instagram,Story,2025-03-11,3600,37583,2146,91,256,122,778,18,17043,SALE_0081
CMP_202504_A,INF_D48C4E77,Micro,38844,YouTube,Long_Video,2025-04-13,24800,25133,969,40,90,47,845,35,126211,SALE_4E77
CMP_202510_C,INF_E0AE5D22,Nano,6829,Instagram,Static_Post,2025-10-15,300,2753,211,4,20,4,45,1,2297,SALE_5D22
CMP_202505_B,INF_CADC7E2E,Mid,405098,TikTok,Video,2025-05-31,48300,220507,8545,242,457,768,2785,63,54982,SALE_7E2E
CMP_202502_A,INF_F1CD109B,Nano,9943,LinkedIn,Text_Post,2025-02-20,16400,4383,300,12,42,26,80,3,41051,SALE_109B
CMP_202511_C,INF_FAAAA063,Nano,3405,LinkedIn,Text_Post,2025-11-07,3600,29377,819,19,90,33,421,19,234273,SALE_A063
CMP_202501_A,INF_195EA3F5,Micro,96168,TikTok,Video,2025-01-18,8000,14727,292,3,22,23,192,2,1696,SALE_A3F5
CMP_202509_C,INF_3E6EBC8C,Micro,51947,LinkedIn,Text_Post,2025-09-17,22500,36725,2541,87,144,152,756,37,421329,SALE_BC8C
CMP_202505_B,INF_000158E4,Nano,2586,Instagram,Carousel,2025-05-07,900,1393,101,4,14,4,27,0,0,SALE_58E4
CMP_202508_A,INF_75CE9671,Nano,9809,LinkedIn,Article,2025-08-05,6800,3182,132,3,12,9,69,2,17041,SALE_9671
CMP_202508_A,INF_8F6462C4,Nano,4352,LinkedIn,Article,2025-08-20,2300,10987,439,19,56,17,186,8,106256,SALE_62C4
CMP_202503_A,INF_D16CEBAC,Mid,394038,TikTok,Video,2025-03-12,41600,600745,4685,75,810,347,4524,64,41288,SALE_EBAC
CMP_202510_B,INF_8F82B809,Micro,14190,LinkedIn,Text_Post,2025-10-18,20700,52236,2347,106,356,133,1209,57,578611,SALE_B809
CMP_202508_A,INF_252A9873,Micro,81676,Instagram,Reel,2025-08-18,8800,40373,2510,117,357,119,600,13,13428,SALE_9873
CMP_202511_C,INF_A21A7CFC,Micro,60086,YouTube,Long_Video,2025-11-17,45000,23024,461,14,27,33,448,18,60307,SALE_7CFC
CMP_202503_A,INF_5C05D4B4,Nano,9942,Instagram,Carousel,2025-03-13,3700,2837,56,1,3,1,13,0,0,SALE_D4B4
CMP_202501_B,INF_A4A49A99,Nano,8706,LinkedIn,Text_Post,2025-01-24,10300,31822,1864,77,185,167,512,29,205262,SALE_9A99
CMP_202501_A,INF_984CF370,Micro,65096,TikTok,Video,2025-01-08,3200,301353,10944,441,1910,860,875,15,18778,SALE_F370
CMP_202501_A,INF_5E66E375,Micro,89837,Instagram,Story,2025-01-17,27200,157275,6848,177,1297,207,2584,55,81604,SALE_E375
CMP_202506_A,INF_05D81E5A,Nano,8773,YouTube,Long_Video,2025-06-06,4100,4898,278,12,41,11,200,6,21839,SALE_1E5A
CMP_202503_B,INF_22BBAC69,Micro,73947,LinkedIn,Article,2025-03-11,46000,26337,1187,29,171,104,821,3,38552,SALE_AC69
CMP_202508_A,INF_17329DD2,Mid,110707,Instagram,Reel,2025-08-08,52500,9490,263,6,47,25,194,4,4014,SALE_9DD2
CMP_202509_B,INF_E1698D7D,Micro,49261,TikTok,Video,2025-09-25,5800,1511512,32025,737,6370,1578,25765,565,529472,SALE_8D7D
CMP_202510_A,INF_F9684086,Micro,22006,TikTok,Video,2025-10-02,2300,4943,255,2,35,21,74,0,0,SALE_4086
CMP_202509_B,INF_21C0F989,Macro,536504,YouTube,Long_Video,2025-09-25,237000,219463,2714,44,327,192,6179,251,483934,SALE_F989
CMP_202504_C,INF_AE7A2741,Nano,7956,YouTube,Long_Video,2025-04-24,3300,2448,35,0,2,1,72,2,9743,SALE_2741
CMP_202505_C,INF_5200C934,Nano,1402,YouTube,Long_Video,2025-05-22,600,346,16,0,1,0,10,0,0,SALE_C934
CMP_202512_A,INF_23220F55,Micro,69802,LinkedIn,Article,2025-12-14,97200,24611,1873,89,251,153,494,25,315546,SALE_0F55
CMP_202508_B,INF_CDFFEB44,Nano,8030,Instagram,Carousel,2025-08-21,3500,4273,105,2,16,8,52,1,2172,SALE_EB44
CMP_202512_C,INF_51269850,Micro,76200,YouTube,Short,2025-12-03,22900,173876,3183,121,231,231,5716,190,559657,SALE_9850
CMP_202508_A,INF_02260CA0,Micro,92074,YouTube,Short,2025-08-28,71900,134147,1669,55,149,112,4928,178,615674,SALE_0CA0
CMP_202509_B,INF_40A482F7,Mid,223197,YouTube,Short,2025-09-19,83700,166154,3008,114,574,231,6318,240,919285,SALE_82F7
CMP_202508_C,INF_CFBEFC6B,Micro,38538,Instagram,Story,2025-08-19,10700,24676,916,43,141,87,454,11,19314,SALE_FC6B
CMP_202507_B,INF_9BC1DC3D,Micro,54029,TikTok,Video,2025-07-10,2600,24816,440,19,46,36,223,4,3409,SALE_DC3D
CMP_202509_C,INF_F3C760BC,Nano,2963,TikTok,Video,2025-09-12,200,19499,284,6,27,26,45,0,0,SALE_60BC
CMP_202503_C,INF_2D17E995,Nano,6244,Instagram,Story,2025-03-08,2900,4926,177,6,28,7,83,1,1504,SALE_E995
CMP_202501_B,INF_A233356B,Nano,7051,YouTube,Long_Video,2025-01-30,10100,3303,181,2,17,16,110,3,10954,SALE_356B
CMP_202504_A,INF_8C36DB09,Nano,6560,Instagram,Static_Post,2025-04-24,1900,3550,268,7,33,10,40,0,0,SALE_DB09
CMP_202508_B,INF_7948891E,Micro,35725,TikTok,Video,2025-08-09,4500,268980,8829,94,1137,777,4085,87,74905,SALE_891E
CMP_202509_B,INF_47CD14EB,Micro,88326,Instagram,Reel,2025-09-16,9700,8174,622,26,39,42,85,0,0,SALE_14EB
CMP_202511_C,INF_C5C8AB05,Mid,487091,LinkedIn,Article,2025-11-15,447500,571502,21668,714,2355,665,12664,745,7926500,SALE_AB05
CMP_202505_B,INF_39F9712F,Mid,198349,Instagram,Carousel,2025-05-26,83400,90943,3650,79,617,150,1464,25,55738,SALE_712F
CMP_202508_C,INF_49195C40,Micro,10863,Instagram,Carousel,2025-08-20,4700,13377,885,9,150,86,220,3,5366,SALE_5C40
CMP_202501_C,INF_720BC53C,Nano,7938,LinkedIn,Article,2025-01-14,11500,4506,244,4,20,11,112,6,68675,SALE_C53C
CMP_202512_B,INF_2057BB1D,Mid,488356,YouTube,Short,2025-12-12,613100,77565,3203,125,178,96,2700,103,237524,SALE_BB1D
CMP_202507_C,INF_FC0104C2,Nano,3740,YouTube,Long_Video,2025-07-18,3700,1821,138,6,12,5,50,1,1965,SALE_04C2
CMP_202504_C,INF_7DD5B5A1,Mid,487946,TikTok,Video,2025-04-18,82900,239144,7231,242,417,230,4673,4,3551,SALE_B5A1
CMP_202504_A,INF_E8CE38A4,Mid,439960,Instagram,Carousel,2025-04-05,141600,5840891,36421,888,6020,1279,86444,12,24761,SALE_38A4
CMP_202503_A,INF_42E74581,Nano,2844,Instagram,Story,2025-03-18,1000,865,22,0,1,1,6,0,0,SALE_4581
CMP_202511_B,INF_98410353,Nano,9242,TikTok,Video,2025-11-20,300,3248,97,4,15,8,28,0,0,SALE_0353
CMP_202508_B,INF_3F3C2A6F,Micro,17623,LinkedIn,Text_Post,2025-08-24,22700,39050,586,28,81,49,755,35,410263,SALE_2A6F
CMP_202501_B,INF_A41507D1,Nano,3013,TikTok,Video,2025-01-09,300,1533,105,2,11,5,34,0,0,SALE_07D1
CMP_202504_A,INF_96506EA8,Nano,3861,YouTube,Long_Video,2025-04-15,1900,1042,66,2,9,3,26,0,0,SALE_6EA8
CMP_202506_C,INF_2474311F,Macro,994123,TikTok,Video,2025-06-05,208600,318978,4336,140,529,176,4097,51,27383,SALE_311F
CMP_202505_B,INF_3E6B95D6,Micro,13322,Instagram,Static_Post,2025-05-20,4600,10582,557,16,55,49,195,0,0,SALE_95D6
CMP_202505_A,INF_2E33622B,Nano,6480,TikTok,Video,2025-05-15,2500,4448,65,1,6,1,31,0,0,SALE_622B
CMP_202503_C,INF_C06F81BD,Nano,3864,LinkedIn,Article,2025-03-14,6300,4031,82,3,12,6,61,2,16919,SALE_81BD
CMP_202506_A,INF_360384A0,Micro,46163,LinkedIn,Text_Post,2025-06-29,89000,14311,1026,44,188,52,195,10,134890,SALE_84A0
CMP_202507_B,INF_238504C5,Micro,13818,YouTube,Short,2025-07-19,9800,12080,393,12,27,33,456,19,50756,SALE_04C5
CMP_202511_B,INF_30C4476D,Micro,90024,YouTube,Long_Video,2025-11-03,71900,22385,316,8,51,19,607,21,70718,SALE_476D
CMP_202507_A,INF_769A8653,Nano,6171,YouTube,Short,2025-07-24,2800,2007,146,3,7,5,62,2,3408,SALE_8653
CMP_202511_B,INF_C911A7BC,Nano,4405,YouTube,Long_Video,2025-11-27,3100,1371,82,0,15,5,56,2,9502,SALE_A7BC
CMP_202512_A,INF_F3C760BC,Nano,2963,LinkedIn,Text_Post,2025-12-12,2700,2945,55,0,10,3,76,3,38167,SALE_60BC
CMP_202507_C,INF_85D2EEB8,Nano,9680,YouTube,Short,2025-07-25,3400,5894,134,2,24,4,219,9,35752,SALE_EEB8
CMP_202506_B,INF_AD2E5FA2,Nano,7608,YouTube,Short,2025-06-05,1500,2467,131,4,15,12,90,3,4757,SALE_5FA2
CMP_202512_C,INF_A4A49A99,Nano,8706,Instagram,Reel,2025-12-31,600,6531,388,13,31,37,78,1,2334,SALE_9A99
CMP_202507_A,INF_C15CB82C,Micro,26851,LinkedIn,Article,2025-07-23,19900,6425,340,12,32,30,109,0,0,SALE_B82C
CMP_202511_C,INF_5C05D4B4,Nano,9942,Instagram,Story,2025-11-23,3500,2992,236,11,23,8,32,0,0,SALE_D4B4
CMP_202505_B,INF_BF1A4EC1,Nano,1329,TikTok,Video,2025-05-27,100,2752,125,2,20,5,26,0,0,SALE_4EC1
CMP_202507_B,INF_E06643BA,Mega,2333455,YouTube,Short,2025-07-05,1013400,890976,32638,766,1867,2542,27213,936,4156697,SALE_43BA
CMP_202510_B,INF_96B0BD47,Nano,8921,TikTok,Video,2025-10-10,2300,6845,331,8,60,20,51,1,883,SALE_BD47
CMP_202510_B,INF_F7797FC4,Micro,55713,TikTok,Video,2025-10-17,9700,75462,1053,26,158,30,1153,27,25536,SALE_7FC4
CMP_202508_B,INF_50833040,Mid,283184,Instagram,Story,2025-08-21,108500,875396,23728,933,2544,555,14250,170,173244,SALE_3040
CMP_202506_B,INF_00276056,Micro,56796,YouTube,Long_Video,2025-06-16,22600,83607,2347,82,353,178,2228,90,414047,SALE_6056
CMP_202504_A,INF_72FD1CCA,Mid,432172,TikTok,Video,2025-04-02,45700,4478398,147503,7005,18005,4553,45523,764,1060319,SALE_1CCA
CMP_202503_C,INF_95DCB31C,Micro,85830,TikTok,Video,2025-03-28,12700,34864,1280,36,226,59,465,9,13203,SALE_B31C
CMP_202503_C,INF_794D6C2E,Micro,53359,Instagram,Static_Post,2025-03-05,14900,11343,575,13,86,46,107,1,1772,SALE_6C2E
